NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RESPONSE_TO_TYPE_I_INTERFERON	GOBP_RESPONSE_TO_TYPE_I_INTERFERON	Details ...	80	0.7224271	2.3269887	0.0	0.0	0.0	1855	tags=45%, list=11%, signal=51%	
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	Details ...	53	0.7205518	2.179688	0.0	0.0	0.0	1354	tags=42%, list=8%, signal=45%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	Details ...	47	0.7375106	2.174934	0.0	0.0	0.0	1984	tags=51%, list=12%, signal=58%	
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	Details ...	46	0.7127943	2.1556962	0.0	0.0	0.0	1727	tags=43%, list=11%, signal=49%	
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION	GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION	Details ...	27	0.7885664	2.1185203	0.0	0.0	0.0	905	tags=41%, list=6%, signal=43%	
GOBP_RESPONSE_TO_INTERFERON_GAMMA	GOBP_RESPONSE_TO_INTERFERON_GAMMA	Details ...	151	0.61830837	2.1137762	0.0	0.0	0.0	1996	tags=40%, list=12%, signal=45%	
GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	Details ...	75	0.6669448	2.100417	0.0	0.0	0.0	2186	tags=45%, list=14%, signal=52%	
GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	Details ...	107	0.6363332	2.0999637	0.0	0.0	0.0	1500	tags=33%, list=9%, signal=36%	
GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION	GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION	Details ...	22	0.80799	2.0957134	0.0	0.0	0.0	905	tags=41%, list=6%, signal=43%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	Details ...	75	0.66796863	2.095079	0.0	0.0	0.0	1984	tags=41%, list=12%, signal=47%	
