NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RESPONSE_TO_TYPE_I_INTERFERON	GOBP_RESPONSE_TO_TYPE_I_INTERFERON	Details ...	80	0.7301441	1.9824601	0.0	0.0	0.0	2230	tags=51%, list=14%, signal=59%	
GOBP_RESPONSE_TO_INTERFERON_GAMMA	GOBP_RESPONSE_TO_INTERFERON_GAMMA	Details ...	151	0.68954295	1.9520972	0.0	0.0	0.0	2217	tags=44%, list=14%, signal=51%	
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	Details ...	70	0.70725936	1.9399208	0.0	0.0	0.0	2299	tags=47%, list=14%, signal=55%	
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	44	0.7472792	1.9359751	0.0	0.0	0.0	2866	tags=61%, list=18%, signal=74%	
GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	Details ...	75	0.7000379	1.9280006	0.0	3.680082E-4	0.002	2740	tags=51%, list=17%, signal=61%	
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	68	0.7055567	1.923657	0.0	3.066735E-4	0.002	2996	tags=54%, list=19%, signal=67%	
GOBP_RESPONSE_TO_CHEMOKINE	GOBP_RESPONSE_TO_CHEMOKINE	Details ...	53	0.7243797	1.9172748	0.0	2.62863E-4	0.002	2601	tags=58%, list=16%, signal=69%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	Details ...	47	0.7389953	1.9161719	0.0	2.3000511E-4	0.002	2866	tags=62%, list=18%, signal=75%	
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	Details ...	46	0.7278745	1.91299	0.0	2.04449E-4	0.002	2299	tags=52%, list=14%, signal=61%	
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	Details ...	53	0.7238309	1.9071168	0.0	2.7550812E-4	0.003	1910	tags=47%, list=12%, signal=53%	
GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION	GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION	Details ...	22	0.79815066	1.8931451	0.0	4.1860156E-4	0.005	1180	tags=41%, list=7%, signal=44%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	Details ...	75	0.69318086	1.8826652	0.0	6.131717E-4	0.008	3260	tags=55%, list=20%, signal=68%	
GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE	GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE	Details ...	97	0.67160887	1.8819613	0.0	5.6600466E-4	0.008	2691	tags=43%, list=17%, signal=52%	
GOBP_INTERLEUKIN_10_PRODUCTION	GOBP_INTERLEUKIN_10_PRODUCTION	Details ...	37	0.74562186	1.8799825	0.0	5.9141015E-4	0.009	2379	tags=57%, list=15%, signal=66%	
GOBP_LYMPHOCYTE_CHEMOTAXIS	GOBP_LYMPHOCYTE_CHEMOTAXIS	Details ...	34	0.7432723	1.8775215	0.0	6.13934E-4	0.01	2548	tags=56%, list=16%, signal=66%	
GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	Details ...	107	0.66485596	1.85234	0.0	0.002245105	0.038	2782	tags=43%, list=17%, signal=52%	
GOBP_REGULATION_OF_CELL_KILLING	GOBP_REGULATION_OF_CELL_KILLING	Details ...	56	0.6895116	1.8451648	0.0	0.002547171	0.046	2299	tags=46%, list=14%, signal=54%	
GOBP_REGULATION_OF_T_CELL_MIGRATION	GOBP_REGULATION_OF_T_CELL_MIGRATION	Details ...	30	0.7468542	1.8399438	0.0	0.0027140789	0.052	1704	tags=40%, list=11%, signal=45%	
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	Details ...	38	0.7097298	1.8370001	0.0	0.0027654339	0.056	2782	tags=50%, list=17%, signal=60%	
GOBP_HOMOLOGOUS_CHROMOSOME_PAIRING_AT_MEIOSIS	GOBP_HOMOLOGOUS_CHROMOSOME_PAIRING_AT_MEIOSIS	Details ...	37	0.7199916	1.8319533	0.0	0.0029953264	0.064	1075	tags=30%, list=7%, signal=32%	
GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE		126	0.6490807	1.826622	0.0	0.003422607	0.075	2782	tags=40%, list=17%, signal=49%	
GOBP_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE		72	0.6745578	1.8265585	0.0	0.003267034	0.075	2866	tags=43%, list=18%, signal=52%	
GOBP_REGULATION_OF_LYMPHOCYTE_MIGRATION	GOBP_REGULATION_OF_LYMPHOCYTE_MIGRATION		44	0.6987535	1.8216375	0.0	0.0035668996	0.085	1982	tags=39%, list=12%, signal=44%	
GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE		33	0.72401255	1.8110428	0.0	0.0044183084	0.108	2691	tags=52%, list=17%, signal=62%	
GOBP_T_CELL_MEDIATED_IMMUNITY	GOBP_T_CELL_MEDIATED_IMMUNITY		71	0.66681105	1.810888	0.0	0.00427886	0.108	2782	tags=48%, list=17%, signal=58%	
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY		148	0.639155	1.8100221	0.0	0.0042911246	0.113	2826	tags=41%, list=17%, signal=49%	
GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION		65	0.67477655	1.8085064	0.0	0.004166517	0.114	1758	tags=37%, list=11%, signal=41%	
GOBP_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	GOBP_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE		99	0.6461191	1.8084298	0.0	0.0040505202	0.115	3064	tags=43%, list=19%, signal=53%	
GOBP_CELL_KILLING	GOBP_CELL_KILLING		90	0.65567964	1.8038234	0.0	0.0045460267	0.131	2323	tags=41%, list=14%, signal=48%	
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION	GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION		27	0.7450955	1.8035325	0.0	0.004456003	0.133	1180	tags=37%, list=7%, signal=40%	
GOBP_LYMPHOCYTE_MIGRATION	GOBP_LYMPHOCYTE_MIGRATION		76	0.66257954	1.800413	0.0	0.0046097254	0.142	2765	tags=47%, list=17%, signal=57%	
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY		30	0.7263689	1.799176	0.0	0.004638637	0.148	3238	tags=70%, list=20%, signal=87%	
