NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	Details ...	434	-0.21836324	---	---	1.0	0.0	4011	tags=40%, list=25%, signal=52%	
GOBP_DNA_TEMPLATED_TRANSCRIPTION_INITIATION	GOBP_DNA_TEMPLATED_TRANSCRIPTION_INITIATION	Details ...	229	-0.20543486	---	---	1.0	0.0	2355	tags=18%, list=15%, signal=21%	
GOBP_MRNA_PROCESSING	GOBP_MRNA_PROCESSING	Details ...	494	-0.103579625	---	---	1.0	0.0	5089	tags=34%, list=31%, signal=49%	
GOBP_RNA_CATABOLIC_PROCESS	GOBP_RNA_CATABOLIC_PROCESS	Details ...	397	-0.2079447	---	---	1.0	0.0	2535	tags=26%, list=16%, signal=30%	
GOBP_PROTEIN_TARGETING	GOBP_PROTEIN_TARGETING	Details ...	409	-0.28824514	---	---	1.0	0.0	3047	tags=33%, list=19%, signal=40%	
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	Details ...	212	-0.23279442	---	---	1.0	0.0	2085	tags=26%, list=13%, signal=30%	
GOBP_RRNA_METABOLIC_PROCESS	GOBP_RRNA_METABOLIC_PROCESS	Details ...	233	-0.30680174	---	---	1.0	0.0	4127	tags=37%, list=26%, signal=49%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	446	-0.23542479	---	---	1.0	0.0	4135	tags=36%, list=26%, signal=47%	
GOBP_REGULATION_OF_PROTEIN_STABILITY	GOBP_REGULATION_OF_PROTEIN_STABILITY	Details ...	268	-0.21337153	---	---	1.0	0.0	1799	tags=14%, list=11%, signal=16%	
GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	Details ...	304	-0.18315826	---	---	1.0	0.0	3820	tags=36%, list=24%, signal=46%	
GOBP_NCRNA_PROCESSING	GOBP_NCRNA_PROCESSING	Details ...	385	-0.20987037	---	---	1.0	0.0	4737	tags=37%, list=29%, signal=52%	
GOBP_NCRNA_METABOLIC_PROCESS	GOBP_NCRNA_METABOLIC_PROCESS	Details ...	469	-0.15948787	---	---	1.0	0.0	4026	tags=32%, list=25%, signal=41%	
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS	Details ...	301	-0.3106257	---	---	1.0	0.0	4387	tags=41%, list=27%, signal=55%	
GOBP_ATP_METABOLIC_PROCESS	GOBP_ATP_METABOLIC_PROCESS	Details ...	261	-0.2524443	---	---	1.0	0.0	4453	tags=46%, list=28%, signal=62%	
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	Details ...	374	-0.1898185	---	---	1.0	0.0	4192	tags=37%, list=26%, signal=49%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	Details ...	329	-0.3217995	---	---	1.0	0.0	2396	tags=31%, list=15%, signal=36%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	Details ...	117	-0.6176472	-2.7548752	0.0	0.0	0.0	2385	tags=60%, list=15%, signal=70%	
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	103	-0.660191	-2.7219985	0.0	0.0	0.0	2385	tags=66%, list=15%, signal=77%	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	Details ...	120	-0.5822309	-2.4527044	0.0	0.0	0.0	2385	tags=57%, list=15%, signal=66%	
