NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	15	0.76591706	1.9908017	0.0	0.08709588	0.096	1666	tags=53%, list=10%, signal=59%	
GOBP_NEGATIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION	GOBP_NEGATIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION	Details ...	17	0.7550078	1.9760516	0.0	0.05847436	0.126	545	tags=24%, list=3%, signal=24%	
GOBP_NEGATIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	GOBP_NEGATIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	Details ...	19	0.6876487	1.8952963	0.0	0.16262478	0.424	2911	tags=58%, list=18%, signal=71%	
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	Details ...	46	0.557085	1.8362957	0.0	0.29360387	0.733	2396	tags=30%, list=15%, signal=36%	
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	Details ...	82	0.4801105	1.742998	0.0	0.84265614	0.994	2569	tags=27%, list=16%, signal=32%	
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	Details ...	16	0.6684425	1.7360605	0.00862069	0.76615113	0.996	3749	tags=56%, list=23%, signal=73%	
GOBP_NEGATIVE_REGULATION_OF_DNA_REPAIR	GOBP_NEGATIVE_REGULATION_OF_DNA_REPAIR	Details ...	35	0.560053	1.7326541	0.0050083473	0.6829066	0.997	2263	tags=37%, list=14%, signal=43%	
GOBP_KINETOCHORE_ASSEMBLY	GOBP_KINETOCHORE_ASSEMBLY	Details ...	17	0.6579794	1.7318738	0.005244755	0.60237116	0.997	1962	tags=35%, list=12%, signal=40%	
GOBP_FOREBRAIN_NEURON_DEVELOPMENT	GOBP_FOREBRAIN_NEURON_DEVELOPMENT	Details ...	20	0.6220399	1.7117084	0.009771987	0.6707013	0.998	1658	tags=30%, list=10%, signal=33%	
GOBP_REPLICATION_FORK_PROCESSING	GOBP_REPLICATION_FORK_PROCESSING	Details ...	37	0.54782945	1.7044016	0.0	0.6531466	0.998	1212	tags=24%, list=7%, signal=26%	
GOBP_HISTONE_MRNA_METABOLIC_PROCESS	GOBP_HISTONE_MRNA_METABOLIC_PROCESS	Details ...	24	0.5834474	1.7040778	0.008976661	0.5960054	0.998	4658	tags=58%, list=29%, signal=82%	
GOBP_POSITIVE_REGULATION_OF_TRANSLATIONAL_INITIATION	GOBP_POSITIVE_REGULATION_OF_TRANSLATIONAL_INITIATION	Details ...	28	0.576609	1.6856867	0.0034542314	0.6694631	1.0	4864	tags=43%, list=30%, signal=61%	
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	Details ...	47	0.50870425	1.6710838	0.004716981	0.7236951	1.0	5495	tags=62%, list=34%, signal=93%	
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	44	0.51181144	1.669698	0.005050505	0.6822219	1.0	1700	tags=32%, list=11%, signal=35%	
GOBP_NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	GOBP_NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	Details ...	15	0.6514254	1.669	0.014950166	0.6416019	1.0	282	tags=20%, list=2%, signal=20%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	446	0.37468812	1.666074	0.0	0.61982685	1.0	5235	tags=41%, list=32%, signal=59%	
GOBP_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	GOBP_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	Details ...	46	0.5126975	1.6610054	0.0032310179	0.614696	1.0	1256	tags=22%, list=8%, signal=24%	
GOBP_KINETOCHORE_ORGANIZATION	GOBP_KINETOCHORE_ORGANIZATION	Details ...	22	0.5980844	1.6607035	0.012110727	0.5824556	1.0	1962	tags=36%, list=12%, signal=41%	
GOBP_T_CELL_CHEMOTAXIS	GOBP_T_CELL_CHEMOTAXIS	Details ...	17	0.6315762	1.6558514	0.010830325	0.58102965	1.0	2698	tags=41%, list=17%, signal=49%	
GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION	GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION	Details ...	23	0.5902561	1.6450996	0.016474465	0.6164242	1.0	1701	tags=43%, list=11%, signal=49%	
GOBP_TERMINATION_OF_RNA_POLYMERASE_I_TRANSCRIPTION	GOBP_TERMINATION_OF_RNA_POLYMERASE_I_TRANSCRIPTION		31	0.54615325	1.6430714	0.008237232	0.59939855	1.0	5363	tags=61%, list=33%, signal=92%	
GOBP_DNA_TEMPLATED_TRANSCRIPTION_TERMINATION	GOBP_DNA_TEMPLATED_TRANSCRIPTION_TERMINATION		75	0.45807981	1.6343592	0.0031347962	0.6265769	1.0	5363	tags=44%, list=33%, signal=66%	
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS		301	0.37811464	1.631519	0.0	0.61589813	1.0	5235	tags=44%, list=32%, signal=63%	
GOBP_IMMUNE_RESPONSE_TO_TUMOR_CELL	GOBP_IMMUNE_RESPONSE_TO_TUMOR_CELL		17	0.61473614	1.6278391	0.021052632	0.6110322	1.0	1722	tags=29%, list=11%, signal=33%	
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_RADICAL	GOBP_CELLULAR_RESPONSE_TO_OXYGEN_RADICAL		18	0.58576596	1.6239245	0.017953321	0.6106104	1.0	1992	tags=22%, list=12%, signal=25%	
GOBP_DNA_GEOMETRIC_CHANGE	GOBP_DNA_GEOMETRIC_CHANGE		110	0.42716828	1.6208982	0.0015174507	0.60615695	1.0	4312	tags=35%, list=27%, signal=47%	
GOBP_REGULATION_OF_STEM_CELL_PROLIFERATION	GOBP_REGULATION_OF_STEM_CELL_PROLIFERATION		29	0.54138166	1.6150494	0.011290323	0.61802024	1.0	4189	tags=59%, list=26%, signal=79%	
GOBP_MONOCYTE_CHEMOTAXIS	GOBP_MONOCYTE_CHEMOTAXIS		36	0.5212951	1.6137145	0.0049751243	0.6035588	1.0	2191	tags=25%, list=14%, signal=29%	
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY		30	0.5376059	1.6135483	0.023178808	0.5840136	1.0	2061	tags=27%, list=13%, signal=31%	
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE		68	0.45555755	1.6102644	0.0048859934	0.5828729	1.0	1701	tags=29%, list=11%, signal=33%	
