NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_SENSORY_PERCEPTION_OF_SMELL	GOBP_SENSORY_PERCEPTION_OF_SMELL	Details ...	25	0.71884793	2.1468723	0.0	0.018382888	0.022	2069	tags=48%, list=13%, signal=55%	
GOBP_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	GOBP_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	Details ...	46	0.55931854	1.9510404	0.0	0.20280124	0.392	3410	tags=43%, list=21%, signal=55%	
GOBP_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND	GOBP_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND	Details ...	27	0.6122692	1.8932343	0.0	0.3076591	0.674	203	tags=19%, list=1%, signal=19%	
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	Details ...	19	0.6686372	1.888001	0.0	0.24801527	0.703	505	tags=21%, list=3%, signal=22%	
GOBP_REPLICATION_FORK_PROCESSING	GOBP_REPLICATION_FORK_PROCESSING	Details ...	37	0.56952924	1.8802769	0.0	0.21825594	0.737	3410	tags=49%, list=21%, signal=62%	
GOBP_MYD88_INDEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	GOBP_MYD88_INDEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	33	0.5896394	1.8624834	0.0016891892	0.22872569	0.806	2231	tags=39%, list=14%, signal=46%	
GOBP_NECROPTOTIC_PROCESS	GOBP_NECROPTOTIC_PROCESS	Details ...	34	0.5613	1.8377547	0.0	0.26782066	0.89	2245	tags=35%, list=14%, signal=41%	
GOBP_NON_MOTILE_CILIUM_ASSEMBLY	GOBP_NON_MOTILE_CILIUM_ASSEMBLY	Details ...	50	0.5244586	1.8317775	0.0	0.25295419	0.909	3139	tags=42%, list=19%, signal=52%	
GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS	GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS	Details ...	20	0.65202934	1.8191359	0.0017361111	0.26352873	0.942	2966	tags=40%, list=18%, signal=49%	
GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_ABSENCE_OF_LIGAND	GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_ABSENCE_OF_LIGAND	Details ...	36	0.547958	1.7727975	0.0	0.41175684	0.993	203	tags=17%, list=1%, signal=17%	
GOBP_POSITIVE_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	Details ...	16	0.66953367	1.7684401	0.0017985612	0.39218494	0.994	1815	tags=38%, list=11%, signal=42%	
GOBP_REGULATION_OF_WATER_LOSS_VIA_SKIN	GOBP_REGULATION_OF_WATER_LOSS_VIA_SKIN	Details ...	20	0.6126699	1.7526808	0.0055350554	0.42653805	0.997	2316	tags=30%, list=14%, signal=35%	
GOBP_NEGATIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	GOBP_NEGATIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	Details ...	19	0.6082606	1.7103307	0.01362862	0.6118874	1.0	2320	tags=53%, list=14%, signal=61%	
GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS	GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS	Details ...	41	0.5005275	1.6978782	0.009966778	0.6462627	1.0	2014	tags=22%, list=12%, signal=25%	
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	Details ...	62	0.46191835	1.6861886	0.0049668876	0.67857504	1.0	3401	tags=32%, list=21%, signal=41%	
GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	Details ...	60	0.46761334	1.6763557	0.008143323	0.6959575	1.0	2069	tags=28%, list=13%, signal=32%	
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING	GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING	Details ...	21	0.5675319	1.6355016	0.018115941	0.9517326	1.0	3040	tags=52%, list=19%, signal=64%	
GOBP_POSITIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT	GOBP_POSITIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT	Details ...	26	0.54091686	1.6343923	0.014625229	0.9067154	1.0	1815	tags=23%, list=11%, signal=26%	
GOBP_MOLTING_CYCLE	GOBP_MOLTING_CYCLE	Details ...	76	0.43533483	1.633875	0.0017391305	0.8634088	1.0	3594	tags=38%, list=22%, signal=49%	
GOBP_DETECTION_OF_CHEMICAL_STIMULUS	GOBP_DETECTION_OF_CHEMICAL_STIMULUS	Details ...	51	0.45738864	1.6221204	0.011494253	0.9088332	1.0	1445	tags=31%, list=9%, signal=34%	
GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS	GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS		25	0.5386178	1.6188886	0.015679443	0.89055336	1.0	1950	tags=28%, list=12%, signal=32%	
GOBP_MRNA_SPLICE_SITE_SELECTION	GOBP_MRNA_SPLICE_SITE_SELECTION		35	0.4963547	1.6096827	0.008802817	0.922701	1.0	3401	tags=43%, list=21%, signal=54%	
GOBP_INDOLE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_INDOLE_CONTAINING_COMPOUND_METABOLIC_PROCESS		16	0.6056737	1.6082201	0.023508137	0.8937938	1.0	2101	tags=31%, list=13%, signal=36%	
GOBP_REGULATION_OF_KERATINOCYTE_PROLIFERATION	GOBP_REGULATION_OF_KERATINOCYTE_PROLIFERATION		26	0.5236122	1.5984895	0.012216405	0.9294075	1.0	3501	tags=46%, list=22%, signal=59%	
GOBP_DNA_REPLICATION_CHECKPOINT	GOBP_DNA_REPLICATION_CHECKPOINT		17	0.58109856	1.5983337	0.012110727	0.8934292	1.0	3270	tags=53%, list=20%, signal=66%	
GOBP_DNA_REPLICATION	GOBP_DNA_REPLICATION		270	0.35527745	1.5938199	0.0	0.8944294	1.0	3307	tags=29%, list=20%, signal=35%	
GOBP_DNA_DEPENDENT_DNA_REPLICATION	GOBP_DNA_DEPENDENT_DNA_REPLICATION		152	0.37952542	1.5930985	0.0	0.86692286	1.0	3410	tags=32%, list=21%, signal=40%	
GOBP_REGULATION_OF_B_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_B_CELL_DIFFERENTIATION		20	0.5551338	1.5747914	0.03244275	0.97367346	1.0	1203	tags=30%, list=7%, signal=32%	
GOBP_REGULATION_OF_DNA_REPLICATION	GOBP_REGULATION_OF_DNA_REPLICATION		101	0.39445734	1.5742279	0.005076142	0.94440657	1.0	3410	tags=31%, list=21%, signal=39%	
GOBP_NEUROTRANSMITTER_REUPTAKE	GOBP_NEUROTRANSMITTER_REUPTAKE		19	0.55977774	1.5737492	0.02919708	0.91597456	1.0	20	tags=11%, list=0%, signal=11%	
GOBP_BICARBONATE_TRANSPORT	GOBP_BICARBONATE_TRANSPORT		26	0.51566344	1.5731457	0.031468533	0.8905372	1.0	1402	tags=27%, list=9%, signal=29%	
GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY	GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY		23	0.53543514	1.5675348	0.019607844	0.9032823	1.0	871	tags=22%, list=5%, signal=23%	
GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_ASSEMBLY	GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_ASSEMBLY		18	0.5608258	1.5594608	0.03448276	0.9358903	1.0	3799	tags=44%, list=23%, signal=58%	
GOBP_SISTER_CHROMATID_COHESION	GOBP_SISTER_CHROMATID_COHESION		54	0.44013798	1.5571352	0.023529412	0.9253967	1.0	3932	tags=44%, list=24%, signal=59%	
GOBP_REGULATION_OF_RNA_SPLICING	GOBP_REGULATION_OF_RNA_SPLICING		126	0.38091317	1.5553643	0.0015923567	0.9123716	1.0	5142	tags=48%, list=32%, signal=69%	
GOBP_REGULATION_OF_MRNA_PROCESSING	GOBP_REGULATION_OF_MRNA_PROCESSING		124	0.37771848	1.5469356	0.003144654	0.9513896	1.0	5454	tags=51%, list=34%, signal=76%	
GOBP_OLFACTORY_LOBE_DEVELOPMENT	GOBP_OLFACTORY_LOBE_DEVELOPMENT		20	0.5438564	1.5435979	0.038664322	0.95046765	1.0	3594	tags=35%, list=22%, signal=45%	
GOBP_REGULATION_OF_MONOOXYGENASE_ACTIVITY	GOBP_REGULATION_OF_MONOOXYGENASE_ACTIVITY		47	0.44248784	1.5397549	0.017421603	0.9540643	1.0	1012	tags=17%, list=6%, signal=18%	
GOBP_RECOMBINATIONAL_REPAIR	GOBP_RECOMBINATIONAL_REPAIR		136	0.36891937	1.5367059	0.0063391444	0.95276093	1.0	4418	tags=40%, list=27%, signal=54%	
GOBP_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY	GOBP_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY		21	0.5311358	1.5351878	0.036713287	0.94005394	1.0	3340	tags=48%, list=21%, signal=60%	
GOBP_OVULATION_CYCLE_PROCESS	GOBP_OVULATION_CYCLE_PROCESS		31	0.49318263	1.5349635	0.03380783	0.91865164	1.0	3411	tags=35%, list=21%, signal=45%	
GOBP_KINETOCHORE_ASSEMBLY	GOBP_KINETOCHORE_ASSEMBLY		17	0.56070095	1.5311058	0.03527337	0.9241066	1.0	3748	tags=53%, list=23%, signal=69%	
GOBP_POSITIVE_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS	GOBP_POSITIVE_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS		20	0.5356866	1.5245794	0.034234233	0.9493004	1.0	1549	tags=25%, list=10%, signal=28%	
GOBP_L_AMINO_ACID_TRANSPORT	GOBP_L_AMINO_ACID_TRANSPORT		46	0.44836742	1.5156052	0.027072757	0.9939114	1.0	1085	tags=17%, list=7%, signal=19%	
GOBP_KINETOCHORE_ORGANIZATION	GOBP_KINETOCHORE_ORGANIZATION		22	0.52238184	1.5146664	0.039355993	0.97868246	1.0	4127	tags=55%, list=26%, signal=73%	
