NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RESPONSE_TO_TYPE_I_INTERFERON	GOBP_RESPONSE_TO_TYPE_I_INTERFERON	Details ...	80	0.7626104	1.9825637	0.0	0.0	0.0	2190	tags=56%, list=14%, signal=65%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	Details ...	47	0.7848003	1.9513296	0.0	0.0	0.0	2190	tags=62%, list=14%, signal=71%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	Details ...	75	0.7483784	1.9447832	0.0	6.6590175E-4	0.002	2190	tags=53%, list=14%, signal=61%	
GOBP_RESPONSE_TO_INTERFERON_GAMMA	GOBP_RESPONSE_TO_INTERFERON_GAMMA	Details ...	151	0.69618523	1.8704981	0.0	0.0024929272	0.01	2373	tags=50%, list=15%, signal=58%	
GOBP_CORNIFICATION	GOBP_CORNIFICATION	Details ...	49	0.7360034	1.8657507	0.0	0.0019943418	0.01	2240	tags=53%, list=14%, signal=61%	
GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	Details ...	75	0.7197076	1.8562219	0.0	0.0023266657	0.014	2621	tags=60%, list=16%, signal=71%	
GOBP_LYMPHOCYTE_CHEMOTAXIS	GOBP_LYMPHOCYTE_CHEMOTAXIS	Details ...	34	0.7616091	1.855285	0.0	0.0019942848	0.014	1630	tags=47%, list=10%, signal=52%	
GOBP_T_CELL_MIGRATION	GOBP_T_CELL_MIGRATION	Details ...	48	0.73121434	1.8411222	0.0	0.003616721	0.029	1828	tags=44%, list=11%, signal=49%	
GOBP_KERATINIZATION	GOBP_KERATINIZATION	Details ...	55	0.7185192	1.8404415	0.0	0.003325561	0.03	2240	tags=49%, list=14%, signal=57%	
GOBP_RESPONSE_TO_INTERFERON_ALPHA	GOBP_RESPONSE_TO_INTERFERON_ALPHA	Details ...	20	0.7925701	1.8202978	0.0	0.005088438	0.05	1595	tags=55%, list=10%, signal=61%	
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	Details ...	19	0.7951947	1.819035	0.0	0.004716683	0.051	2694	tags=74%, list=17%, signal=88%	
GOBP_RESPONSE_TO_CHEMOKINE	GOBP_RESPONSE_TO_CHEMOKINE	Details ...	53	0.71483654	1.8023255	0.0	0.0069852476	0.081	2735	tags=53%, list=17%, signal=63%	
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION	GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION	Details ...	75	0.6874991	1.7896717	0.0	0.008750559	0.107	2190	tags=41%, list=14%, signal=48%	
GOBP_COLLAGEN_FIBRIL_ORGANIZATION	GOBP_COLLAGEN_FIBRIL_ORGANIZATION	Details ...	44	0.7120567	1.7789563	0.0	0.010692255	0.139	1981	tags=50%, list=12%, signal=57%	
GOBP_INTERLEUKIN_10_PRODUCTION	GOBP_INTERLEUKIN_10_PRODUCTION	Details ...	37	0.7160095	1.7788488	0.0	0.009979437	0.139	1963	tags=49%, list=12%, signal=55%	
GOBP_RESPONSE_TO_INTERFERON_BETA	GOBP_RESPONSE_TO_INTERFERON_BETA	Details ...	24	0.7558088	1.7766789	0.0	0.0098545095	0.144	2295	tags=54%, list=14%, signal=63%	
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	44	0.7060134	1.7706183	0.0	0.0116232885	0.176	2621	tags=59%, list=16%, signal=70%	
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	Details ...	46	0.70242184	1.7662055	0.0	0.012252838	0.197	1887	tags=50%, list=12%, signal=56%	
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	Details ...	70	0.6748101	1.7614237	0.0	0.012657788	0.21	2956	tags=53%, list=18%, signal=64%	
GOBP_INTERLEUKIN_1_BETA_PRODUCTION	GOBP_INTERLEUKIN_1_BETA_PRODUCTION	Details ...	67	0.68082285	1.7603033	0.0	0.012124801	0.211	3020	tags=49%, list=19%, signal=60%	
GOBP_NEGATIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION	GOBP_NEGATIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION		25	0.75812477	1.7587794	0.0	0.012165363	0.222	1309	tags=44%, list=8%, signal=48%	
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE		68	0.680545	1.7573235	0.0	0.01202095	0.229	1887	tags=46%, list=12%, signal=51%	
GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION		65	0.6870224	1.7560515	0.0	0.011672177	0.231	2050	tags=43%, list=13%, signal=49%	
GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS	GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS		41	0.7022562	1.7555939	0.0	0.011268706	0.232	2377	tags=46%, list=15%, signal=54%	
GOBP_LYMPHOCYTE_MIGRATION	GOBP_LYMPHOCYTE_MIGRATION		76	0.6748172	1.7555159	0.0	0.010857982	0.233	1828	tags=39%, list=11%, signal=44%	
GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION	GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION		22	0.7582058	1.7554152	0.0010799136	0.010440366	0.233	1828	tags=50%, list=11%, signal=56%	
