NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_PYRUVATE_METABOLIC_PROCESS	GOBP_PYRUVATE_METABOLIC_PROCESS	Details ...	125	-0.17253071	---	---	1.0	0.0	716	tags=7%, list=4%, signal=7%	
GOBP_REGULATION_OF_CIRCADIAN_RHYTHM	GOBP_REGULATION_OF_CIRCADIAN_RHYTHM	Details ...	94	-0.20321938	---	---	1.0	0.0	1006	tags=14%, list=6%, signal=15%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	Details ...	117	-0.1561055	---	---	1.0	0.0	11335	tags=97%, list=70%, signal=321%	
GOBP_PHOTOPERIODISM	GOBP_PHOTOPERIODISM	Details ...	28	-0.47882724	-1.8042529	0.016666668	0.22782548	0.582	1006	tags=25%, list=6%, signal=27%	
GOBP_BETA_CATENIN_DESTRUCTION_COMPLEX_DISASSEMBLY	GOBP_BETA_CATENIN_DESTRUCTION_COMPLEX_DISASSEMBLY	Details ...	17	-0.46497515	-1.5764946	0.02020202	0.7592454	0.983	3046	tags=53%, list=19%, signal=65%	
GOBP_PIGMENT_GRANULE_ORGANIZATION	GOBP_PIGMENT_GRANULE_ORGANIZATION	Details ...	24	-0.42983004	-1.5551693	0.028169014	0.72084546	0.989	669	tags=17%, list=4%, signal=17%	
GOBP_ENTRAINMENT_OF_CIRCADIAN_CLOCK	GOBP_ENTRAINMENT_OF_CIRCADIAN_CLOCK	Details ...	30	-0.3979236	-1.5168203	0.01754386	0.7697457	0.997	1692	tags=27%, list=10%, signal=30%	
GOBP_MITOTIC_CHROMOSOME_CONDENSATION	GOBP_MITOTIC_CHROMOSOME_CONDENSATION	Details ...	15	-0.45456794	-1.4714605	0.06338028	0.8735044	1.0	8828	tags=100%, list=55%, signal=220%	
GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED	GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED	Details ...	25	-0.37617776	-1.4380473	0.07462686	0.9327617	1.0	57	tags=8%, list=0%, signal=8%	
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	Details ...	30	-0.36670613	-1.4333535	0.075	0.86055416	1.0	1625	tags=27%, list=10%, signal=30%	
GOBP_THIOESTER_METABOLIC_PROCESS	GOBP_THIOESTER_METABOLIC_PROCESS	Details ...	92	-0.25267443	-1.4294622	0.0	0.7990927	1.0	916	tags=14%, list=6%, signal=15%	
