NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_CELLULAR_OXIDANT_DETOXIFICATION	GOBP_CELLULAR_OXIDANT_DETOXIFICATION	Details ...	71	-0.47625583	-1.77673	0.0	1.0	0.972	1535	tags=20%, list=9%, signal=22%	
GOBP_DETOXIFICATION	GOBP_DETOXIFICATION	Details ...	94	-0.4268361	-1.6688932	0.0	1.0	1.0	2668	tags=29%, list=16%, signal=34%	
GOBP_GLUTATHIONE_DERIVATIVE_METABOLIC_PROCESS	GOBP_GLUTATHIONE_DERIVATIVE_METABOLIC_PROCESS	Details ...	15	-0.61772275	-1.6658729	0.020588236	1.0	1.0	151	tags=13%, list=1%, signal=13%	
GOBP_POSITIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	GOBP_POSITIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	Details ...	22	-0.5759136	-1.6574944	0.0068259384	1.0	1.0	874	tags=14%, list=5%, signal=14%	
GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE	GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE	Details ...	84	-0.428244	-1.6349154	0.0	1.0	1.0	1535	tags=18%, list=9%, signal=20%	
GOBP_SERINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	GOBP_SERINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	Details ...	18	-0.5817705	-1.6070386	0.035256412	1.0	1.0	3909	tags=67%, list=24%, signal=88%	
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	Details ...	27	-0.53286797	-1.6064426	0.013289036	1.0	1.0	1115	tags=19%, list=7%, signal=20%	
GOBP_STEROID_CATABOLIC_PROCESS	GOBP_STEROID_CATABOLIC_PROCESS	Details ...	18	-0.58417976	-1.604765	0.03508772	0.8958984	1.0	1716	tags=50%, list=11%, signal=56%	
GOBP_AMYLOID_FIBRIL_FORMATION	GOBP_AMYLOID_FIBRIL_FORMATION	Details ...	21	-0.547847	-1.5600032	0.03236246	1.0	1.0	1037	tags=29%, list=6%, signal=30%	
GOBP_SIGNALING_RECEPTOR_LIGAND_PRECURSOR_PROCESSING	GOBP_SIGNALING_RECEPTOR_LIGAND_PRECURSOR_PROCESSING	Details ...	18	-0.5646369	-1.5465593	0.025157232	1.0	1.0	264	tags=17%, list=2%, signal=17%	
GOBP_ORGANIC_CATION_TRANSPORT	GOBP_ORGANIC_CATION_TRANSPORT	Details ...	24	-0.5239571	-1.5419797	0.035947714	1.0	1.0	1790	tags=29%, list=11%, signal=33%	
GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE	GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE	Details ...	15	-0.58925676	-1.5351814	0.051612902	0.97710043	1.0	1049	tags=40%, list=6%, signal=43%	
GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION	GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION	Details ...	30	-0.47558698	-1.5213282	0.03267974	0.99140286	1.0	1281	tags=20%, list=8%, signal=22%	
GOBP_SENSORY_PERCEPTION_OF_BITTER_TASTE	GOBP_SENSORY_PERCEPTION_OF_BITTER_TASTE	Details ...	16	-0.5615453	-1.5182321	0.05015674	0.9395062	1.0	1049	tags=38%, list=6%, signal=40%	
GOBP_NEGATIVE_REGULATION_OF_TORC1_SIGNALING	GOBP_NEGATIVE_REGULATION_OF_TORC1_SIGNALING	Details ...	16	-0.5545872	-1.4627376	0.0652819	1.0	1.0	940	tags=19%, list=6%, signal=20%	
