NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	Details ...	350	-0.23204602	---	---	1.0	0.0	6099	tags=49%, list=38%, signal=78%	
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	Details ...	434	-0.2084221	---	---	1.0	0.0	4535	tags=38%, list=28%, signal=51%	
GOBP_DNA_REPLICATION	GOBP_DNA_REPLICATION	Details ...	270	-0.21440506	---	---	1.0	0.0	6289	tags=52%, list=39%, signal=84%	
GOBP_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	GOBP_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	Details ...	194	-0.35018992	---	---	1.0	0.0	2692	tags=39%, list=17%, signal=46%	
GOBP_MRNA_PROCESSING	GOBP_MRNA_PROCESSING	Details ...	494	-0.20174502	---	---	1.0	0.0	6048	tags=46%, list=37%, signal=71%	
GOBP_CELLULAR_AMINO_ACID_METABOLIC_PROCESS	GOBP_CELLULAR_AMINO_ACID_METABOLIC_PROCESS	Details ...	286	-0.2219953	---	---	1.0	0.0	3658	tags=32%, list=23%, signal=41%	
GOBP_PROTEIN_TARGETING	GOBP_PROTEIN_TARGETING	Details ...	409	-0.23720503	---	---	1.0	0.0	4942	tags=43%, list=31%, signal=60%	
GOBP_MITOCHONDRIAL_TRANSPORT	GOBP_MITOCHONDRIAL_TRANSPORT	Details ...	253	-0.15876622	---	---	1.0	0.0	4930	tags=34%, list=30%, signal=49%	
GOBP_MICROTUBULE_BASED_MOVEMENT	GOBP_MICROTUBULE_BASED_MOVEMENT	Details ...	288	-0.23738252	---	---	1.0	0.0	3376	tags=34%, list=21%, signal=42%	
GOBP_RNA_SPLICING	GOBP_RNA_SPLICING	Details ...	437	-0.19307254	---	---	1.0	0.0	6108	tags=48%, list=38%, signal=75%	
GOBP_MACROAUTOPHAGY	GOBP_MACROAUTOPHAGY	Details ...	297	-0.10932342	---	---	1.0	0.0	5412	tags=35%, list=33%, signal=52%	
GOBP_COVALENT_CHROMATIN_MODIFICATION	GOBP_COVALENT_CHROMATIN_MODIFICATION	Details ...	421	-0.20412631	---	---	1.0	0.0	4603	tags=36%, list=28%, signal=49%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	446	-0.10982547	---	---	1.0	0.0	5555	tags=33%, list=34%, signal=49%	
GOBP_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION	GOBP_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION	Details ...	261	-0.20078588	---	---	1.0	0.0	4475	tags=34%, list=28%, signal=46%	
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	Details ...	256	-0.20048797	---	---	1.0	0.0	5311	tags=40%, list=33%, signal=59%	
GOBP_CILIUM_ORGANIZATION	GOBP_CILIUM_ORGANIZATION	Details ...	357	-0.31143674	---	---	1.0	0.0	3677	tags=39%, list=23%, signal=50%	
GOBP_CELL_CYCLE_G2_M_PHASE_TRANSITION	GOBP_CELL_CYCLE_G2_M_PHASE_TRANSITION	Details ...	266	-0.19787478	---	---	1.0	0.0	4752	tags=36%, list=29%, signal=51%	
GOBP_ATP_METABOLIC_PROCESS	GOBP_ATP_METABOLIC_PROCESS	Details ...	261	-0.19109705	---	---	1.0	0.0	4916	tags=39%, list=30%, signal=55%	
GOBP_GOLGI_VESICLE_TRANSPORT	GOBP_GOLGI_VESICLE_TRANSPORT	Details ...	348	-0.15993471	---	---	1.0	0.0	4046	tags=27%, list=25%, signal=36%	
GOBP_DNA_CONFORMATION_CHANGE	GOBP_DNA_CONFORMATION_CHANGE	Details ...	314	-0.30883938	---	---	1.0	0.0	4083	tags=42%, list=25%, signal=55%	
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS		374	-0.24508876	---	---	1.0	0.0	3455	tags=29%, list=21%, signal=36%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE		329	-0.2071806	---	---	1.0	0.0	4817	tags=40%, list=30%, signal=56%	
GOBP_MITOTIC_NUCLEAR_DIVISION	GOBP_MITOTIC_NUCLEAR_DIVISION		276	-0.15258783	---	---	1.0	0.0	4983	tags=36%, list=31%, signal=51%	
GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY	GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY		38	-0.6388596	-2.416317	0.0	0.0	0.0	2657	tags=68%, list=16%, signal=82%	
GOBP_INTRACILIARY_TRANSPORT	GOBP_INTRACILIARY_TRANSPORT		52	-0.55213416	-2.1579046	0.0	0.0017131043	0.023	3376	tags=56%, list=21%, signal=70%	
GOBP_MITOCHONDRIAL_TRANSLATION	GOBP_MITOCHONDRIAL_TRANSLATION		133	-0.4538846	-2.1399236	0.0	0.0022146278	0.031	5945	tags=57%, list=37%, signal=90%	
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE		103	-0.47723103	-2.1375887	0.0	0.0021326046	0.031	4809	tags=60%, list=30%, signal=85%	
GOBP_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION	GOBP_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION		31	-0.60895795	-2.1032717	0.0	0.004285515	0.065	2054	tags=68%, list=13%, signal=77%	
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS		30	-0.60188013	-2.0787008	0.0	0.00570155	0.089	3578	tags=60%, list=22%, signal=77%	
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC		111	-0.45794183	-2.0740058	0.0	0.005802303	0.093	2812	tags=50%, list=17%, signal=60%	
GOBP_AEROBIC_RESPIRATION	GOBP_AEROBIC_RESPIRATION		75	-0.49418652	-2.0711648	0.0	0.005910769	0.098	4400	tags=52%, list=27%, signal=71%	
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS	GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS		22	-0.63722175	-2.0612168	0.0	0.0061180224	0.105	2313	tags=50%, list=14%, signal=58%	
GOBP_INTRACILIARY_TRANSPORT_INVOLVED_IN_CILIUM_ASSEMBLY	GOBP_INTRACILIARY_TRANSPORT_INVOLVED_IN_CILIUM_ASSEMBLY		39	-0.54764473	-2.0288436	0.0	0.009087626	0.155	4030	tags=69%, list=25%, signal=92%	
GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION	GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION		88	-0.45976865	-1.9941013	0.0	0.013147947	0.213	5527	tags=56%, list=34%, signal=84%	
GOBP_HETEROCHROMATIN_ORGANIZATION	GOBP_HETEROCHROMATIN_ORGANIZATION		74	-0.4814616	-1.9886134	0.0	0.013536111	0.223	2416	tags=46%, list=15%, signal=54%	
GOBP_TRICARBOXYLIC_ACID_CYCLE	GOBP_TRICARBOXYLIC_ACID_CYCLE		33	-0.5612884	-1.9594228	0.0	0.018146027	0.288	3561	tags=58%, list=22%, signal=74%	
GOBP_PIGMENT_GRANULE_ORGANIZATION	GOBP_PIGMENT_GRANULE_ORGANIZATION		24	-0.5933133	-1.9360901	0.006369427	0.022675678	0.364	1919	tags=38%, list=12%, signal=42%	
GOBP_URONIC_ACID_METABOLIC_PROCESS	GOBP_URONIC_ACID_METABOLIC_PROCESS		17	-0.668038	-1.9282011	0.0	0.024170369	0.39	1226	tags=41%, list=8%, signal=45%	
GOBP_REGULATION_OF_CELLULAR_RESPIRATION	GOBP_REGULATION_OF_CELLULAR_RESPIRATION		15	-0.6815168	-1.894997	0.0	0.033050217	0.504	1376	tags=40%, list=9%, signal=44%	
GOBP_CENTROMERE_COMPLEX_ASSEMBLY	GOBP_CENTROMERE_COMPLEX_ASSEMBLY		56	-0.46471828	-1.8928967	0.0	0.03267809	0.509	3815	tags=48%, list=24%, signal=63%	
GOBP_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION	GOBP_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION		54	-0.4466657	-1.8697226	0.0	0.039596558	0.586	3968	tags=48%, list=25%, signal=64%	
GOBP_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION	GOBP_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION		136	-0.41691238	-1.8695332	0.0	0.03873819	0.587	2812	tags=43%, list=17%, signal=52%	
GOBP_NUCLEOSOME_ASSEMBLY	GOBP_NUCLEOSOME_ASSEMBLY		127	-0.3984769	-1.8687247	0.0	0.038122363	0.59	2756	tags=47%, list=17%, signal=57%	
GOBP_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR	GOBP_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR		73	-0.44104728	-1.8627368	0.0	0.038836576	0.608	5962	tags=53%, list=37%, signal=84%	
GOBP_CELLULAR_RESPIRATION	GOBP_CELLULAR_RESPIRATION		158	-0.3844122	-1.8605857	0.0	0.038574483	0.613	5030	tags=47%, list=31%, signal=67%	
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM		144	-0.37629333	-1.8536	0.0	0.039392777	0.623	5595	tags=58%, list=35%, signal=87%	
GOBP_STRESS_GRANULE_ASSEMBLY	GOBP_STRESS_GRANULE_ASSEMBLY		23	-0.580198	-1.8514231	0.006060606	0.03935183	0.629	3311	tags=48%, list=20%, signal=60%	
GOBP_CHROMATIN_REMODELING_AT_CENTROMERE	GOBP_CHROMATIN_REMODELING_AT_CENTROMERE		47	-0.48205036	-1.8426903	0.0	0.04200075	0.66	3815	tags=51%, list=24%, signal=67%	
GOBP_PROTEIN_LOCALIZATION_TO_CILIUM	GOBP_PROTEIN_LOCALIZATION_TO_CILIUM		54	-0.44352245	-1.837834	0.0	0.043052524	0.676	3603	tags=52%, list=22%, signal=66%	
GOBP_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION	GOBP_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION		45	-0.46049073	-1.8268375	0.0	0.0466737	0.71	5985	tags=56%, list=37%, signal=88%	
GOBP_COPII_COATED_VESICLE_CARGO_LOADING	GOBP_COPII_COATED_VESICLE_CARGO_LOADING		15	-0.6372222	-1.823856	0.004524887	0.047139235	0.721	3220	tags=47%, list=20%, signal=58%	
GOBP_NADPH_REGENERATION	GOBP_NADPH_REGENERATION		18	-0.58791685	-1.8192605	0.0	0.04862437	0.738	2332	tags=44%, list=14%, signal=52%	
