GS,NES,Cell_line,Treatment
GOBP_RESPONSE_TO_CHEMOKINE,1.76,WT,DAC vs. NT Day5
GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION,1.74,WT,DAC vs. NT Day5
GOBP_T_CELL_MIGRATION,1.74,WT,DAC vs. NT Day5
GOBP_REGULATION_OF_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL,1.73,WT,DAC vs. NT Day5
GOBP_INTERLEUKIN_10_PRODUCTION,1.71,WT,DAC vs. NT Day5
GOBP_MONOCYTE_CHEMOTAXIS,1.69,WT,DAC vs. NT Day5
GOBP_RENAL_SYSTEM_VASCULATURE_DEVELOPMENT,1.69,WT,DAC vs. NT Day5
GOBP_TRANSMISSION_OF_NERVE_IMPULSE,1.69,WT,DAC vs. NT Day5
GOBP_RESPONSE_TO_MINERALOCORTICOID,1.69,WT,DAC vs. NT Day5
GOBP_CORNIFICATION,1.69,WT,DAC vs. NT Day5
GOBP_MITOCHONDRIAL_TRANSLATION,-2.4183512,WT,DAC vs. NT Day5
GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION,-2.3894336,WT,DAC vs. NT Day5
GOBP_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT,-2.07129,WT,DAC vs. NT Day5
GOBP_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT,-1.9848815,WT,DAC vs. NT Day5
GOBP_TRANSLATIONAL_TERMINATION,-1.9395748,WT,DAC vs. NT Day5
GOBP_INTRACILIARY_TRANSPORT,-1.9154123,WT,DAC vs. NT Day5
GOBP_PIGMENT_GRANULE_ORGANIZATION,-1.9025526,WT,DAC vs. NT Day5
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-1.8469303,WT,DAC vs. NT Day5
GOBP_TRANSLATIONAL_ELONGATION,-1.8215432,WT,DAC vs. NT Day5
GOBP_REGULATION_OF_CELLULAR_RESPIRATION,-1.7980919,WT,DAC vs. NT Day5
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,1.92,WT,DAC vs. NT Day16
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,1.86,WT,DAC vs. NT Day16
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE,1.84,WT,DAC vs. NT Day16
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,1.82,WT,DAC vs. NT Day16
GOBP_RESPONSE_TO_INTERFERON_GAMMA,1.81,WT,DAC vs. NT Day16
GOBP_RESPONSE_TO_CHEMOKINE,1.8,WT,DAC vs. NT Day16
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY,1.8,WT,DAC vs. NT Day16
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,1.79,WT,DAC vs. NT Day16
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,1.78,WT,DAC vs. NT Day16
GOBP_INTERLEUKIN_10_PRODUCTION,1.78,WT,DAC vs. NT Day16
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.706234,WT,DAC vs. NT Day16
GOBP_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT,-2.2922337,WT,DAC vs. NT Day16
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,-2.136171,WT,DAC vs. NT Day16
GOBP_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT,-2.1038814,WT,DAC vs. NT Day16
GOBP_BETA_CATENIN_DESTRUCTION_COMPLEX_DISASSEMBLY,-2.0914779,WT,DAC vs. NT Day16
GOBP_CELLULAR_ALDEHYDE_METABOLIC_PROCESS,-1.9999388,WT,DAC vs. NT Day16
GOBP_URONIC_ACID_METABOLIC_PROCESS,-1.9835442,WT,DAC vs. NT Day16
GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION,-1.9255059,WT,DAC vs. NT Day16
GOBP_AEROBIC_RESPIRATION,-1.8698984,WT,DAC vs. NT Day16
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY,-1.8009857,WT,DAC vs. NT Day16
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,1.98,WT,DAC vs. NT Day26
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,1.95,WT,DAC vs. NT Day26
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,1.94,WT,DAC vs. NT Day26
GOBP_RESPONSE_TO_INTERFERON_GAMMA,1.87,WT,DAC vs. NT Day26
GOBP_CORNIFICATION,1.87,WT,DAC vs. NT Day26
GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY,1.86,WT,DAC vs. NT Day26
GOBP_LYMPHOCYTE_CHEMOTAXIS,1.86,WT,DAC vs. NT Day26
GOBP_T_CELL_MIGRATION,1.84,WT,DAC vs. NT Day26
GOBP_KERATINIZATION,1.84,WT,DAC vs. NT Day26
GOBP_RESPONSE_TO_INTERFERON_ALPHA,1.82,WT,DAC vs. NT Day26
GOBP_PHOTOPERIODISM,-1.8042529,WT,DAC vs. NT Day26
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,2.13,WT,DAC+BMN vs. NT Day5
GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY,2.09,WT,DAC+BMN vs. NT Day5
GOBP_RESPONSE_TO_INTERFERON_GAMMA,2.04,WT,DAC+BMN vs. NT Day5
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,2.03,WT,DAC+BMN vs. NT Day5
GOBP_CORNIFICATION,2.03,WT,DAC+BMN vs. NT Day5
GOBP_RESPONSE_TO_CHEMOKINE,2.03,WT,DAC+BMN vs. NT Day5
GOBP_KERATINIZATION,2.02,WT,DAC+BMN vs. NT Day5
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,2.01,WT,DAC+BMN vs. NT Day5
GOBP_T_CELL_MIGRATION,1.94,WT,DAC+BMN vs. NT Day5
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,1.94,WT,DAC+BMN vs. NT Day5
GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY,-2.416317,WT,DAC+BMN vs. NT Day5
GOBP_INTRACILIARY_TRANSPORT,-2.1579046,WT,DAC+BMN vs. NT Day5
GOBP_MITOCHONDRIAL_TRANSLATION,-2.1399236,WT,DAC+BMN vs. NT Day5
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.1375887,WT,DAC+BMN vs. NT Day5
GOBP_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION,-2.1032717,WT,DAC+BMN vs. NT Day5
