NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	446	0.5134646	2.6618228	0.0	0.0	0.0	3630	tags=46%, list=22%, signal=58%	
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS	Details ...	301	0.52212185	2.6137562	0.0	0.0	0.0	5719	tags=65%, list=35%, signal=99%	
GOBP_MRNA_PROCESSING	GOBP_MRNA_PROCESSING	Details ...	494	0.48710293	2.575019	0.0	0.0	0.0	4760	tags=52%, list=29%, signal=72%	
GOBP_RNA_SPLICING	GOBP_RNA_SPLICING	Details ...	437	0.4836992	2.5033617	0.0	0.0	0.0	4760	tags=53%, list=29%, signal=73%	
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	Details ...	350	0.4846878	2.465788	0.0	0.0	0.0	5359	tags=56%, list=33%, signal=82%	
GOBP_NCRNA_METABOLIC_PROCESS	GOBP_NCRNA_METABOLIC_PROCESS	Details ...	469	0.47033137	2.4540255	0.0	0.0	0.0	4975	tags=52%, list=31%, signal=73%	
GOBP_RRNA_METABOLIC_PROCESS	GOBP_RRNA_METABOLIC_PROCESS	Details ...	233	0.500698	2.4314506	0.0	0.0	0.0	3909	tags=47%, list=24%, signal=61%	
GOBP_NCRNA_PROCESSING	GOBP_NCRNA_PROCESSING	Details ...	385	0.47255248	2.4307597	0.0	0.0	0.0	4708	tags=50%, list=29%, signal=69%	
GOBP_RNA_EXPORT_FROM_NUCLEUS	GOBP_RNA_EXPORT_FROM_NUCLEUS	Details ...	131	0.53986233	2.423068	0.0	0.0	0.0	4571	tags=60%, list=28%, signal=82%	
GOBP_REGULATION_OF_RNA_SPLICING	GOBP_REGULATION_OF_RNA_SPLICING	Details ...	126	0.530391	2.3938942	0.0	0.0	0.0	4607	tags=56%, list=28%, signal=78%	
