NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_COLLAGEN_CATABOLIC_PROCESS	GOBP_COLLAGEN_CATABOLIC_PROCESS	Details ...	37	-0.61797327	-2.2497478	0.0	0.01770611	0.014	1542	tags=38%, list=10%, signal=42%	
GOBP_TERPENOID_METABOLIC_PROCESS	GOBP_TERPENOID_METABOLIC_PROCESS	Details ...	79	-0.50112593	-2.204265	0.0	0.016442586	0.026	3977	tags=47%, list=25%, signal=62%	
GOBP_RETINOL_METABOLIC_PROCESS	GOBP_RETINOL_METABOLIC_PROCESS	Details ...	29	-0.6368772	-2.159956	0.0	0.023998398	0.054	2282	tags=45%, list=14%, signal=52%	
GOBP_MECHANORECEPTOR_DIFFERENTIATION	GOBP_MECHANORECEPTOR_DIFFERENTIATION	Details ...	43	-0.5739508	-2.1469085	0.0	0.02177855	0.066	1781	tags=35%, list=11%, signal=39%	
GOBP_INNER_EAR_RECEPTOR_CELL_DEVELOPMENT	GOBP_INNER_EAR_RECEPTOR_CELL_DEVELOPMENT	Details ...	32	-0.6006014	-2.1337802	0.0	0.021993939	0.082	1770	tags=38%, list=11%, signal=42%	
GOBP_RENAL_SYSTEM_VASCULATURE_DEVELOPMENT	GOBP_RENAL_SYSTEM_VASCULATURE_DEVELOPMENT	Details ...	20	-0.6778816	-2.1253	0.0	0.020642048	0.093	2131	tags=35%, list=13%, signal=40%	
GOBP_INNER_EAR_RECEPTOR_CELL_STEREOCILIUM_ORGANIZATION	GOBP_INNER_EAR_RECEPTOR_CELL_STEREOCILIUM_ORGANIZATION	Details ...	25	-0.6545555	-2.1248016	0.0	0.017693184	0.093	1691	tags=40%, list=10%, signal=45%	
GOBP_CELLULAR_HORMONE_METABOLIC_PROCESS	GOBP_CELLULAR_HORMONE_METABOLIC_PROCESS	Details ...	89	-0.49024445	-2.1208644	0.0	0.015950855	0.096	2480	tags=30%, list=15%, signal=36%	
GOBP_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS	GOBP_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS	Details ...	69	-0.50427127	-2.0844994	0.0	0.025634132	0.168	1984	tags=36%, list=12%, signal=41%	
GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS	GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS	Details ...	62	-0.50753313	-2.0791569	0.0	0.02534373	0.183	2806	tags=39%, list=17%, signal=47%	
GOBP_ORGANIC_CATION_TRANSPORT	GOBP_ORGANIC_CATION_TRANSPORT	Details ...	24	-0.64162755	-2.0654805	0.0	0.027157132	0.212	1148	tags=29%, list=7%, signal=31%	
GOBP_LIPID_HOMEOSTASIS	GOBP_LIPID_HOMEOSTASIS	Details ...	118	-0.4458396	-2.0428762	0.0	0.031939305	0.263	2530	tags=34%, list=16%, signal=40%	
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY	GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY	Details ...	62	-0.50596595	-2.0371478	0.0	0.032686867	0.291	2668	tags=40%, list=16%, signal=48%	
GOBP_ODONTOGENESIS_OF_DENTIN_CONTAINING_TOOTH	GOBP_ODONTOGENESIS_OF_DENTIN_CONTAINING_TOOTH	Details ...	55	-0.51185834	-2.0262804	0.0	0.033495996	0.315	1661	tags=25%, list=10%, signal=28%	
GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	Details ...	47	-0.52921224	-2.0091605	0.0046948357	0.036898423	0.358	3505	tags=45%, list=22%, signal=57%	
GOBP_BASEMENT_MEMBRANE_ORGANIZATION	GOBP_BASEMENT_MEMBRANE_ORGANIZATION	Details ...	26	-0.59124035	-1.990764	0.0	0.04389376	0.434	1518	tags=31%, list=9%, signal=34%	
GOBP_NEUROTRANSMITTER_METABOLIC_PROCESS	GOBP_NEUROTRANSMITTER_METABOLIC_PROCESS	Details ...	21	-0.635545	-1.987044	0.0	0.043235138	0.452	3305	tags=52%, list=20%, signal=66%	
GOBP_METANEPHRIC_NEPHRON_DEVELOPMENT	GOBP_METANEPHRIC_NEPHRON_DEVELOPMENT	Details ...	26	-0.59402573	-1.9851936	0.0	0.041534297	0.457	1885	tags=38%, list=12%, signal=43%	
GOBP_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY	GOBP_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY	Details ...	39	-0.5404559	-1.9829421	0.0	0.040011868	0.46	3324	tags=51%, list=21%, signal=64%	
GOBP_VASCULAR_TRANSPORT	GOBP_VASCULAR_TRANSPORT	Details ...	70	-0.47153434	-1.9809035	0.0	0.039211057	0.469	2396	tags=37%, list=15%, signal=43%	
GOBP_REGULATION_OF_CHOLESTEROL_EFFLUX	GOBP_REGULATION_OF_CHOLESTEROL_EFFLUX		26	-0.5909937	-1.9783329	0.0021413276	0.03830833	0.477	3498	tags=54%, list=22%, signal=69%	
GOBP_MACROPHAGE_MIGRATION	GOBP_MACROPHAGE_MIGRATION		39	-0.5433076	-1.9758879	0.0	0.03794246	0.485	1878	tags=36%, list=12%, signal=41%	
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION		308	-0.38154605	-1.9732254	0.0	0.03765835	0.496	2383	tags=26%, list=15%, signal=30%	
GOBP_REGULATION_OF_BRANCHING_INVOLVED_IN_URETERIC_BUD_MORPHOGENESIS	GOBP_REGULATION_OF_BRANCHING_INVOLVED_IN_URETERIC_BUD_MORPHOGENESIS		15	-0.69095033	-1.9626298	0.0022271716	0.041201234	0.543	3432	tags=53%, list=21%, signal=68%	
GOBP_VITAMIN_TRANSPORT	GOBP_VITAMIN_TRANSPORT		31	-0.5718206	-1.9624214	0.0	0.039603993	0.544	3606	tags=55%, list=22%, signal=70%	
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS		258	-0.38337812	-1.955989	0.0	0.040952977	0.582	2500	tags=28%, list=15%, signal=32%	
GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE	GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE		25	-0.59569585	-1.9498576	0.0	0.04187086	0.607	2360	tags=48%, list=15%, signal=56%	
GOBP_HORMONE_METABOLIC_PROCESS	GOBP_HORMONE_METABOLIC_PROCESS		139	-0.41489568	-1.946294	0.0	0.042273555	0.618	2536	tags=28%, list=16%, signal=33%	
GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION		39	-0.5343878	-1.9398054	0.0	0.04387285	0.643	2141	tags=36%, list=13%, signal=41%	
GOBP_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM	GOBP_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM		43	-0.52107406	-1.9387757	0.0042735045	0.042831622	0.647	4156	tags=51%, list=26%, signal=69%	
GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS	GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS		53	-0.49100253	-1.9214213	0.0	0.049190033	0.711	2360	tags=36%, list=15%, signal=42%	
GOBP_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	GOBP_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE		33	-0.5309977	-1.9169366	0.0022271716	0.050656896	0.735	3449	tags=39%, list=21%, signal=50%	
GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION	GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION		38	-0.5326706	-1.9158472	0.0	0.049771383	0.735	2360	tags=42%, list=15%, signal=49%	
GOBP_REGULATION_OF_URINE_VOLUME	GOBP_REGULATION_OF_URINE_VOLUME		15	-0.65124774	-1.9150839	0.0044345898	0.04863685	0.738	3688	tags=67%, list=23%, signal=86%	
GOBP_INTERLEUKIN_7_MEDIATED_SIGNALING_PATHWAY	GOBP_INTERLEUKIN_7_MEDIATED_SIGNALING_PATHWAY		27	-0.57061344	-1.9046445	0.004750594	0.05316874	0.784	2974	tags=56%, list=18%, signal=68%	
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION	GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION		17	-0.62930137	-1.901149	0.0069444445	0.05341358	0.793	4074	tags=59%, list=25%, signal=79%	
GOBP_AMINE_CATABOLIC_PROCESS	GOBP_AMINE_CATABOLIC_PROCESS		25	-0.5853491	-1.9011422	0.0	0.051969968	0.793	3970	tags=52%, list=25%, signal=69%	
GOBP_ISOPRENOID_METABOLIC_PROCESS	GOBP_ISOPRENOID_METABOLIC_PROCESS		97	-0.42918134	-1.9006492	0.0	0.050965153	0.793	4031	tags=45%, list=25%, signal=60%	
GOBP_PHOSPHATE_ION_TRANSPORT	GOBP_PHOSPHATE_ION_TRANSPORT		24	-0.58827233	-1.8964348	0.0	0.05169042	0.804	2288	tags=38%, list=14%, signal=44%	
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN		29	-0.5508056	-1.8941702	0.0023148148	0.051624708	0.81	2443	tags=41%, list=15%, signal=49%	
GOBP_NEURAL_CREST_CELL_MIGRATION	GOBP_NEURAL_CREST_CELL_MIGRATION		39	-0.5169319	-1.8938121	0.0	0.05042685	0.811	2360	tags=38%, list=15%, signal=45%	
GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT		18	-0.6274263	-1.8922063	0.0021978023	0.050183926	0.815	3272	tags=50%, list=20%, signal=63%	
GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS	GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS		29	-0.55790186	-1.8905872	0.0	0.04960279	0.819	2806	tags=45%, list=17%, signal=54%	
GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION	GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION		160	-0.39728138	-1.886353	0.0	0.05097453	0.841	2823	tags=31%, list=17%, signal=37%	
