NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_KERATINIZATION	GOBP_KERATINIZATION	Details ...	55	0.6942867	2.0847042	0.0	0.0	0.0	2223	tags=47%, list=14%, signal=55%	
GOBP_CORNIFICATION	GOBP_CORNIFICATION	Details ...	49	0.69528323	2.0466816	0.0	4.2191477E-4	0.001	1807	tags=45%, list=11%, signal=50%	
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	Details ...	148	0.61092705	2.001526	0.0	0.0016941393	0.006	2585	tags=38%, list=16%, signal=45%	
GOBP_INTERLEUKIN_10_PRODUCTION	GOBP_INTERLEUKIN_10_PRODUCTION	Details ...	37	0.7103532	1.9991229	0.0	0.0012706046	0.006	3101	tags=70%, list=19%, signal=87%	
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	68	0.6501492	1.9989238	0.0	0.0010164836	0.006	2620	tags=46%, list=16%, signal=54%	
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	Details ...	53	0.6668137	1.9983859	0.0	9.888808E-4	0.007	2568	tags=43%, list=16%, signal=51%	
GOBP_T_HELPER_1_TYPE_IMMUNE_RESPONSE	GOBP_T_HELPER_1_TYPE_IMMUNE_RESPONSE	Details ...	33	0.72904736	1.9967202	0.0	8.47612E-4	0.007	1400	tags=42%, list=9%, signal=46%	
GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	Details ...	107	0.6196658	1.9910021	0.0	8.478826E-4	0.008	2585	tags=38%, list=16%, signal=45%	
GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	Details ...	126	0.61139065	1.990489	0.0	8.4879366E-4	0.009	2568	tags=37%, list=16%, signal=43%	
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION	Details ...	64	0.6499791	1.980276	0.0	0.0013590815	0.016	2620	tags=45%, list=16%, signal=54%	
GOBP_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	GOBP_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	Details ...	19	0.7883342	1.9789416	0.0	0.0012355286	0.016	1400	tags=53%, list=9%, signal=58%	
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	44	0.68263763	1.9774573	0.0	0.001202999	0.017	2585	tags=50%, list=16%, signal=59%	
GOBP_T_CELL_MIGRATION	GOBP_T_CELL_MIGRATION	Details ...	48	0.66700196	1.9752637	0.0	0.0011104606	0.017	2290	tags=44%, list=14%, signal=51%	
GOBP_POSITIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION	Details ...	18	0.80358696	1.9751909	0.0	0.001031142	0.017	1038	tags=44%, list=6%, signal=47%	
GOBP_REGULATION_OF_CELLULAR_EXTRAVASATION	GOBP_REGULATION_OF_CELLULAR_EXTRAVASATION	Details ...	25	0.74438393	1.9736544	0.0	9.6239924E-4	0.017	2471	tags=60%, list=15%, signal=71%	
GOBP_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	GOBP_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	Details ...	40	0.69451886	1.9665005	0.0	9.5512316E-4	0.018	3278	tags=60%, list=20%, signal=75%	
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	Details ...	46	0.6578078	1.9609835	0.0	9.984534E-4	0.02	2957	tags=52%, list=18%, signal=64%	
