NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	Details ...	434	-0.24400151	---	---	1.0	0.0	3993	tags=35%, list=25%, signal=46%	
GOBP_MRNA_PROCESSING	GOBP_MRNA_PROCESSING	Details ...	494	-0.23804383	---	---	1.0	0.0	6324	tags=54%, list=39%, signal=87%	
GOBP_RNA_CATABOLIC_PROCESS	GOBP_RNA_CATABOLIC_PROCESS	Details ...	397	-0.25040227	---	---	1.0	0.0	3744	tags=35%, list=23%, signal=44%	
GOBP_PROTEIN_TARGETING	GOBP_PROTEIN_TARGETING	Details ...	409	-0.2753832	---	---	1.0	0.0	4236	tags=39%, list=26%, signal=51%	
GOBP_CHROMOSOME_SEGREGATION	GOBP_CHROMOSOME_SEGREGATION	Details ...	302	-0.20380412	---	---	1.0	0.0	4327	tags=35%, list=27%, signal=47%	
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	Details ...	451	-0.12626831	---	---	1.0	0.0	2844	tags=16%, list=18%, signal=19%	
GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	Details ...	303	-0.19261417	---	---	1.0	0.0	3746	tags=29%, list=23%, signal=37%	
GOBP_COVALENT_CHROMATIN_MODIFICATION	GOBP_COVALENT_CHROMATIN_MODIFICATION	Details ...	421	-0.25765517	---	---	1.0	0.0	3516	tags=30%, list=22%, signal=37%	
GOBP_PEPTIDYL_LYSINE_MODIFICATION	GOBP_PEPTIDYL_LYSINE_MODIFICATION	Details ...	355	-0.2314164	---	---	1.0	0.0	3575	tags=31%, list=22%, signal=39%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	446	-0.2482477	---	---	1.0	0.0	4384	tags=31%, list=27%, signal=41%	
GOBP_NCRNA_METABOLIC_PROCESS	GOBP_NCRNA_METABOLIC_PROCESS	Details ...	469	-0.21774152	---	---	1.0	0.0	5043	tags=38%, list=31%, signal=54%	
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS	Details ...	301	-0.3091462	---	---	1.0	0.0	4248	tags=32%, list=26%, signal=42%	
GOBP_CILIUM_ORGANIZATION	GOBP_CILIUM_ORGANIZATION	Details ...	357	-0.20776692	---	---	1.0	0.0	3856	tags=32%, list=24%, signal=41%	
GOBP_NUCLEAR_TRANSPORT	GOBP_NUCLEAR_TRANSPORT	Details ...	318	-0.15744187	---	---	1.0	0.0	4711	tags=37%, list=29%, signal=51%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	Details ...	329	-0.31533337	---	---	1.0	0.0	4048	tags=42%, list=25%, signal=55%	
GOBP_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS	GOBP_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS	Details ...	493	-0.20362093	---	---	1.0	0.0	3063	tags=26%, list=19%, signal=32%	
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	Details ...	422	-0.1991727	---	---	1.0	0.0	4048	tags=32%, list=25%, signal=42%	
GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY	GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY	Details ...	38	-0.85483426	-3.1820915	0.0	0.0	0.0	551	tags=63%, list=3%, signal=65%	
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	Details ...	111	-0.6537781	-3.046988	0.0	0.0	0.0	260	tags=35%, list=2%, signal=35%	
GOBP_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION	GOBP_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION	Details ...	31	-0.83097136	-2.933361	0.0	0.0	0.0	229	tags=65%, list=1%, signal=65%	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY		120	-0.61245114	-2.8758056	0.0	0.0	0.0	3689	tags=61%, list=23%, signal=78%	
GOBP_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION	GOBP_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION		136	-0.5964291	-2.8389885	0.0	0.0	0.0	1078	tags=35%, list=7%, signal=37%	
GOBP_HETEROCHROMATIN_ORGANIZATION	GOBP_HETEROCHROMATIN_ORGANIZATION		74	-0.6667908	-2.8005319	0.0	0.0	0.0	1345	tags=43%, list=8%, signal=47%	
GOBP_NUCLEOSOME_ASSEMBLY	GOBP_NUCLEOSOME_ASSEMBLY		127	-0.587162	-2.7872968	0.0	0.0	0.0	710	tags=37%, list=4%, signal=38%	
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE		103	-0.61604506	-2.7632232	0.0	0.0	0.0	3156	tags=63%, list=20%, signal=78%	
GOBP_NUCLEOSOME_ORGANIZATION	GOBP_NUCLEOSOME_ORGANIZATION		158	-0.534553	-2.6589768	0.0	0.0	0.0	1379	tags=37%, list=9%, signal=40%	
GOBP_DNA_PACKAGING	GOBP_DNA_PACKAGING		207	-0.4989909	-2.5658152	0.0	0.0	0.0	1805	tags=34%, list=11%, signal=38%	
GOBP_NEGATIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION	GOBP_NEGATIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION		17	-0.84236443	-2.5528722	0.0	0.0	0.0	229	tags=71%, list=1%, signal=72%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM		117	-0.55155	-2.5319786	0.0	0.0	0.0	3029	tags=56%, list=19%, signal=68%	
GOBP_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION	GOBP_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION		77	-0.6018071	-2.5300522	0.0	0.0	0.0	254	tags=30%, list=2%, signal=30%	
GOBP_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	GOBP_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY		194	-0.52346355	-2.5139315	0.0	0.0	0.0	1379	tags=34%, list=9%, signal=37%	
GOBP_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION	GOBP_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION		54	-0.6072777	-2.4709692	0.0	0.0	0.0	3524	tags=56%, list=22%, signal=71%	
GOBP_CHROMATIN_REMODELING_AT_CENTROMERE	GOBP_CHROMATIN_REMODELING_AT_CENTROMERE		47	-0.6158743	-2.4633746	0.0	0.0	0.0	3036	tags=51%, list=19%, signal=63%	
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM		144	-0.49571013	-2.4576385	0.0	0.0	0.0	3156	tags=49%, list=20%, signal=61%	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS		206	-0.46425772	-2.426389	0.0	0.0	0.0	3402	tags=45%, list=21%, signal=56%	
GOBP_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	GOBP_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION		253	-0.48846352	-2.4259658	0.0	0.0	0.0	2797	tags=39%, list=17%, signal=47%	
GOBP_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	GOBP_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC		184	-0.49513045	-2.4052465	0.0	0.0	0.0	260	tags=21%, list=2%, signal=21%	
GOBP_CENTROMERE_COMPLEX_ASSEMBLY	GOBP_CENTROMERE_COMPLEX_ASSEMBLY		56	-0.58127797	-2.3760192	0.0	0.0	0.0	3240	tags=48%, list=20%, signal=60%	
GOBP_DNA_CONFORMATION_CHANGE	GOBP_DNA_CONFORMATION_CHANGE		314	-0.45073292	-2.3640575	0.0	0.0	0.0	3127	tags=38%, list=19%, signal=46%	
GOBP_MEGAKARYOCYTE_DIFFERENTIATION	GOBP_MEGAKARYOCYTE_DIFFERENTIATION		92	-0.5216312	-2.3423703	0.0	4.599237E-5	0.001	254	tags=25%, list=2%, signal=25%	
GOBP_REGULATION_OF_GENE_SILENCING	GOBP_REGULATION_OF_GENE_SILENCING		134	-0.49986836	-2.3398135	0.0	4.48706E-5	0.001	380	tags=22%, list=2%, signal=22%	
GOBP_REGULATION_OF_GENE_SILENCING_BY_RNA	GOBP_REGULATION_OF_GENE_SILENCING_BY_RNA		117	-0.50278187	-2.3375201	0.0	4.3802254E-5	0.001	380	tags=21%, list=2%, signal=21%	
GOBP_VIRAL_GENE_EXPRESSION	GOBP_VIRAL_GENE_EXPRESSION		197	-0.45068127	-2.3157182	0.0	4.27836E-5	0.001	3156	tags=46%, list=20%, signal=56%	
GOBP_TELOMERE_ORGANIZATION	GOBP_TELOMERE_ORGANIZATION		168	-0.46602598	-2.3143995	0.0	4.1811243E-5	0.001	3408	tags=39%, list=21%, signal=49%	
GOBP_TELOMERE_CAPPING	GOBP_TELOMERE_CAPPING		54	-0.5572122	-2.2929802	0.0	4.0882103E-5	0.001	901	tags=28%, list=6%, signal=29%	
GOBP_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION	GOBP_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION		45	-0.5750336	-2.2820065	0.0	3.9993363E-5	0.001	3351	tags=49%, list=21%, signal=61%	
GOBP_CELL_CYCLE_DNA_REPLICATION	GOBP_CELL_CYCLE_DNA_REPLICATION		62	-0.5468502	-2.2414052	0.0	3.2835582E-4	0.008	3538	tags=55%, list=22%, signal=70%	
GOBP_ATP_DEPENDENT_CHROMATIN_REMODELING	GOBP_ATP_DEPENDENT_CHROMATIN_REMODELING		85	-0.5032754	-2.2407792	0.0	3.2151508E-4	0.008	3036	tags=41%, list=19%, signal=50%	
GOBP_MITOCHONDRIAL_TRANSLATION	GOBP_MITOCHONDRIAL_TRANSLATION		133	-0.47185376	-2.2277908	0.0	5.4975913E-4	0.014	5423	tags=64%, list=34%, signal=95%	
GOBP_DNA_STRAND_ELONGATION	GOBP_DNA_STRAND_ELONGATION		26	-0.656304	-2.2189357	0.0	6.5449165E-4	0.017	4467	tags=81%, list=28%, signal=111%	
GOBP_CHROMATIN_SILENCING	GOBP_CHROMATIN_SILENCING		64	-0.5469329	-2.2088213	0.0	6.7779986E-4	0.018	1078	tags=33%, list=7%, signal=35%	
GOBP_NON_RECOMBINATIONAL_REPAIR	GOBP_NON_RECOMBINATIONAL_REPAIR		102	-0.47943664	-2.154484	0.0	0.0013967166	0.037	2854	tags=35%, list=18%, signal=43%	
GOBP_CHROMATIN_REMODELING	GOBP_CHROMATIN_REMODELING		194	-0.45178166	-2.1461325	0.0	0.001548394	0.042	2970	tags=37%, list=18%, signal=45%	
GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION	GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION		88	-0.4794661	-2.1107602	0.0	0.0022539967	0.062	5423	tags=65%, list=34%, signal=97%	
GOBP_DNA_REPLICATION	GOBP_DNA_REPLICATION		270	-0.3730105	-2.1094174	0.0	0.002284928	0.064	3408	tags=37%, list=21%, signal=47%	
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS		30	-0.59099823	-2.0767002	0.0	0.003539978	0.102	2536	tags=43%, list=16%, signal=51%	
GOBP_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION	GOBP_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION		19	-0.693163	-2.069619	0.0	0.00377763	0.109	3538	tags=79%, list=22%, signal=101%	
GOBP_BETA_CATENIN_DESTRUCTION_COMPLEX_DISASSEMBLY	GOBP_BETA_CATENIN_DESTRUCTION_COMPLEX_DISASSEMBLY		17	-0.6899481	-2.0626965	0.0	0.0042081526	0.123	1518	tags=41%, list=9%, signal=45%	
GOBP_TRANSLATIONAL_TERMINATION	GOBP_TRANSLATIONAL_TERMINATION		104	-0.43498227	-2.0348306	0.0	0.0055575483	0.159	5480	tags=61%, list=34%, signal=91%	
GOBP_HISTONE_EXCHANGE	GOBP_HISTONE_EXCHANGE		55	-0.52069855	-2.0327384	0.0	0.0056282715	0.164	3036	tags=45%, list=19%, signal=56%	
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE		27	-0.5845501	-2.030281	0.0	0.005595972	0.166	825	tags=33%, list=5%, signal=35%	
GOBP_CELLULAR_AMINO_ACID_BIOSYNTHETIC_PROCESS	GOBP_CELLULAR_AMINO_ACID_BIOSYNTHETIC_PROCESS		63	-0.49354658	-2.0301826	0.0	0.005505714	0.166	2239	tags=37%, list=14%, signal=42%	
GOBP_TRANSLATIONAL_ELONGATION	GOBP_TRANSLATIONAL_ELONGATION		129	-0.4418074	-2.0044267	0.0	0.007474768	0.223	5423	tags=63%, list=34%, signal=94%	
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS	GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS		58	-0.48187906	-1.9851077	0.0	0.009261066	0.271	2239	tags=36%, list=14%, signal=42%	
GOBP_NEGATIVE_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION	GOBP_NEGATIVE_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION		17	-0.6561467	-1.9787936	0.003787879	0.009820434	0.288	3340	tags=59%, list=21%, signal=74%	
GOBP_HISTONE_H3_K9_METHYLATION	GOBP_HISTONE_H3_K9_METHYLATION		30	-0.5466546	-1.9748809	0.0	0.009960271	0.298	2369	tags=37%, list=15%, signal=43%	
GOBP_RESPONSE_TO_INTERLEUKIN_7	GOBP_RESPONSE_TO_INTERLEUKIN_7		36	-0.5215538	-1.9641137	0.0	0.011071515	0.326	1345	tags=39%, list=8%, signal=42%	
GOBP_SERINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	GOBP_SERINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS		18	-0.6338584	-1.9629747	0.0	0.010990454	0.328	2072	tags=61%, list=13%, signal=70%	
GOBP_TRANSLATIONAL_INITIATION	GOBP_TRANSLATIONAL_INITIATION		189	-0.40364254	-1.9579484	0.0	0.011386104	0.341	3752	tags=47%, list=23%, signal=60%	
GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS		15	-0.67624295	-1.9482033	0.0	0.012463862	0.368	2072	tags=40%, list=13%, signal=46%	
GOBP_INTERLEUKIN_7_MEDIATED_SIGNALING_PATHWAY	GOBP_INTERLEUKIN_7_MEDIATED_SIGNALING_PATHWAY		27	-0.55957377	-1.9440475	0.0	0.012880367	0.381	475	tags=41%, list=3%, signal=42%	
GOBP_NUCLEOTIDE_EXCISION_REPAIR_DNA_GAP_FILLING	GOBP_NUCLEOTIDE_EXCISION_REPAIR_DNA_GAP_FILLING		23	-0.5883575	-1.9347669	0.0	0.013745965	0.409	3100	tags=57%, list=19%, signal=70%	
GOBP_HISTONE_H4_K5_ACETYLATION	GOBP_HISTONE_H4_K5_ACETYLATION		16	-0.65712625	-1.919046	0.0	0.016064202	0.466	4558	tags=81%, list=28%, signal=113%	
