NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	44	0.7431361	1.952651	0.0	9.229346E-4	0.001	2890	tags=66%, list=18%, signal=80%	
GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	Details ...	126	0.670389	1.9416915	0.0	4.614673E-4	0.001	2765	tags=43%, list=17%, signal=51%	
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	68	0.7094334	1.9408463	0.0	3.076449E-4	0.001	2925	tags=57%, list=18%, signal=70%	
GOBP_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	Details ...	72	0.6965452	1.9324664	0.0	4.6033488E-4	0.002	2720	tags=47%, list=17%, signal=57%	
GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	Details ...	107	0.67310154	1.926777	0.0	7.389289E-4	0.004	2890	tags=44%, list=18%, signal=53%	
GOBP_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	GOBP_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	Details ...	99	0.6702411	1.9155971	0.0	9.205092E-4	0.006	2720	tags=43%, list=17%, signal=52%	
GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION	GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION	Details ...	22	0.79711044	1.9135207	0.0	7.8900787E-4	0.006	858	tags=36%, list=5%, signal=38%	
GOBP_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	GOBP_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	Details ...	40	0.7201168	1.9008921	0.0	0.0010360272	0.009	2905	tags=60%, list=18%, signal=73%	
GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	Details ...	80	0.6758758	1.900882	0.0	9.209131E-4	0.009	2890	tags=45%, list=18%, signal=55%	
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	Details ...	53	0.7104725	1.9002596	0.0	8.288218E-4	0.009	2890	tags=51%, list=18%, signal=62%	
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	Details ...	87	0.67254627	1.8861475	0.0	0.0015923826	0.019	2890	tags=44%, list=18%, signal=53%	
GOBP_CORNIFICATION	GOBP_CORNIFICATION	Details ...	49	0.70477897	1.8821707	0.0	0.0016133407	0.021	2706	tags=53%, list=17%, signal=64%	
GOBP_KERATINIZATION	GOBP_KERATINIZATION	Details ...	55	0.6884218	1.8810468	0.0	0.0014892376	0.021	2706	tags=51%, list=17%, signal=61%	
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	Details ...	148	0.6411176	1.8744118	0.0	0.0017131625	0.026	2924	tags=41%, list=18%, signal=50%	
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION	GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION	Details ...	27	0.7674347	1.8742985	0.0	0.0016596944	0.027	858	tags=30%, list=5%, signal=31%	
