NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	Details ...	350	-0.13652651	---	---	1.0	0.0	5292	tags=38%, list=33%, signal=55%	
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	Details ...	434	-0.22773655	---	---	1.0	0.0	4536	tags=43%, list=28%, signal=58%	
GOBP_DNA_REPLICATION	GOBP_DNA_REPLICATION	Details ...	270	-0.2180244	---	---	1.0	0.0	4430	tags=31%, list=27%, signal=42%	
GOBP_MRNA_PROCESSING	GOBP_MRNA_PROCESSING	Details ...	494	-0.11638374	---	---	1.0	0.0	5292	tags=36%, list=33%, signal=52%	
GOBP_PROTEIN_TARGETING	GOBP_PROTEIN_TARGETING	Details ...	409	-0.3021735	---	---	1.0	0.0	3285	tags=35%, list=20%, signal=42%	
GOBP_RNA_SPLICING	GOBP_RNA_SPLICING	Details ...	437	-0.1174821	---	---	1.0	0.0	5292	tags=36%, list=33%, signal=53%	
GOBP_MACROAUTOPHAGY	GOBP_MACROAUTOPHAGY	Details ...	297	-0.121329784	---	---	1.0	0.0	3867	tags=22%, list=24%, signal=28%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	446	-0.16239208	---	---	1.0	0.0	3093	tags=19%, list=19%, signal=23%	
GOBP_REGULATION_OF_PROTEIN_STABILITY	GOBP_REGULATION_OF_PROTEIN_STABILITY	Details ...	268	-0.17064066	---	---	1.0	0.0	1320	tags=9%, list=8%, signal=10%	
GOBP_NCRNA_PROCESSING	GOBP_NCRNA_PROCESSING	Details ...	385	-0.16555904	---	---	1.0	0.0	4160	tags=26%, list=26%, signal=35%	
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS	Details ...	301	-0.22690812	---	---	1.0	0.0	3726	tags=26%, list=23%, signal=33%	
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS	GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS	Details ...	345	-0.2379846	---	---	1.0	0.0	3523	tags=37%, list=22%, signal=47%	
GOBP_CILIUM_ORGANIZATION	GOBP_CILIUM_ORGANIZATION	Details ...	357	-0.21041152	---	---	1.0	0.0	3538	tags=31%, list=22%, signal=39%	
GOBP_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	GOBP_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	Details ...	253	-0.26970813	---	---	1.0	0.0	1811	tags=22%, list=11%, signal=24%	
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	Details ...	374	-0.19812287	---	---	1.0	0.0	3615	tags=31%, list=22%, signal=39%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	Details ...	329	-0.30461654	---	---	1.0	0.0	3369	tags=36%, list=21%, signal=44%	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	Details ...	120	-0.58947474	-2.7465265	0.0	0.0	0.0	2352	tags=53%, list=15%, signal=62%	
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	103	-0.60794336	-2.6456378	0.0	0.0	0.0	2352	tags=61%, list=15%, signal=71%	
GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY	GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY	Details ...	38	-0.66383904	-2.4070842	0.0	0.0	0.0	1800	tags=61%, list=11%, signal=68%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	Details ...	117	-0.54785645	-2.3577962	0.0	8.319999E-5	0.001	2352	tags=54%, list=15%, signal=63%	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS		206	-0.47371715	-2.3138285	0.0	7.923809E-5	0.001	3045	tags=42%, list=19%, signal=51%	
GOBP_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION	GOBP_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION		31	-0.62760055	-2.2360303	0.0	6.6860457E-4	0.009	1800	tags=65%, list=11%, signal=72%	
GOBP_HETEROCHROMATIN_ORGANIZATION	GOBP_HETEROCHROMATIN_ORGANIZATION		74	-0.5303758	-2.1948218	0.0	9.316238E-4	0.013	1800	tags=43%, list=11%, signal=48%	
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM		144	-0.4707478	-2.1843543	0.0	0.001030125	0.015	2352	tags=46%, list=15%, signal=53%	
GOBP_AEROBIC_RESPIRATION	GOBP_AEROBIC_RESPIRATION		75	-0.5187379	-2.1450944	0.0	0.0016959808	0.025	4805	tags=61%, list=30%, signal=87%	
GOBP_PROTEIN_TARGETING_TO_MEMBRANE	GOBP_PROTEIN_TARGETING_TO_MEMBRANE		193	-0.3708316	-2.0984447	0.0	0.0038178943	0.057	2139	tags=37%, list=13%, signal=42%	
GOBP_VIRAL_GENE_EXPRESSION	GOBP_VIRAL_GENE_EXPRESSION		197	-0.42779878	-2.0825267	0.0	0.0042842263	0.067	3383	tags=46%, list=21%, signal=58%	
GOBP_MITOCHONDRIAL_TRANSLATION	GOBP_MITOCHONDRIAL_TRANSLATION		133	-0.45530334	-2.0692403	0.0	0.0048279776	0.078	5130	tags=59%, list=32%, signal=86%	
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY		95	-0.4675388	-2.068473	0.0	0.004781547	0.08	4577	tags=62%, list=28%, signal=86%	
GOBP_CELLULAR_RESPIRATION	GOBP_CELLULAR_RESPIRATION		158	-0.43379936	-2.0539162	0.0	0.0056890817	0.096	4566	tags=57%, list=28%, signal=79%	
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY	GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY		59	-0.52142	-2.0463705	0.0	0.005988444	0.104	4577	tags=69%, list=28%, signal=97%	
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT		82	-0.48631835	-2.04073	0.0	0.0063651414	0.114	4566	tags=62%, list=28%, signal=86%	
GOBP_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT	GOBP_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT		20	-0.65258485	-2.039561	0.0	0.006319901	0.116	4473	tags=80%, list=28%, signal=110%	
GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION	GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION		88	-0.4724145	-1.9890313	0.0	0.011295401	0.21	5130	tags=60%, list=32%, signal=88%	
