NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	Details ...	206	-0.2549986	---	---	1.0	0.0	2769	tags=37%, list=17%, signal=44%	
GOBP_TRANSLATIONAL_INITIATION	GOBP_TRANSLATIONAL_INITIATION	Details ...	189	-0.26673225	---	---	1.0	0.0	2815	tags=39%, list=17%, signal=46%	
GOBP_PROTEIN_TARGETING	GOBP_PROTEIN_TARGETING	Details ...	409	-0.21540073	---	---	1.0	0.0	3085	tags=33%, list=19%, signal=40%	
GOBP_PROTEIN_TARGETING_TO_MEMBRANE	GOBP_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	193	-0.3009469	---	---	1.0	0.0	2850	tags=44%, list=18%, signal=53%	
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	Details ...	227	-0.20967464	---	---	1.0	0.0	3151	tags=37%, list=19%, signal=45%	
GOBP_VIRAL_GENE_EXPRESSION	GOBP_VIRAL_GENE_EXPRESSION	Details ...	197	-0.21500471	---	---	1.0	0.0	2867	tags=39%, list=18%, signal=46%	
GOBP_REGULATION_OF_PROTEIN_STABILITY	GOBP_REGULATION_OF_PROTEIN_STABILITY	Details ...	268	-0.16982917	---	---	1.0	0.0	1397	tags=12%, list=9%, signal=13%	
GOBP_REGULATION_OF_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	GOBP_REGULATION_OF_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	Details ...	132	-0.20219186	---	---	1.0	0.0	2284	tags=19%, list=14%, signal=22%	
GOBP_CELLULAR_RESPIRATION	GOBP_CELLULAR_RESPIRATION	Details ...	158	-0.32856375	---	---	1.0	0.0	3067	tags=41%, list=19%, signal=50%	
GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS	GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS	Details ...	169	-0.23246424	---	---	1.0	0.0	2208	tags=25%, list=14%, signal=29%	
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	Details ...	144	-0.37527382	---	---	1.0	0.0	2769	tags=49%, list=17%, signal=58%	
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	Details ...	374	-0.19309878	---	---	1.0	0.0	2217	tags=21%, list=14%, signal=24%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	Details ...	117	-0.47268507	---	---	1.0	0.0	2769	tags=56%, list=17%, signal=67%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	Details ...	329	-0.23085546	---	---	1.0	0.0	2820	tags=35%, list=17%, signal=42%	
GOBP_MITOCHONDRIAL_GENE_EXPRESSION	GOBP_MITOCHONDRIAL_GENE_EXPRESSION	Details ...	164	-0.22262259	---	---	1.0	0.0	3837	tags=42%, list=24%, signal=55%	
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	103	-0.53553694	-2.706234	0.0	0.0	0.0	3347	tags=64%, list=21%, signal=80%	
GOBP_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT	GOBP_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT	Details ...	20	-0.70589924	-2.2922337	0.0	8.959103E-4	0.007	3406	tags=75%, list=21%, signal=95%	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	Details ...	120	-0.37584436	-2.136171	0.0	0.0050496417	0.042	2769	tags=52%, list=17%, signal=62%	
GOBP_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT	GOBP_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT	Details ...	24	-0.6274534	-2.1038814	0.0	0.0071348213	0.062	3406	tags=67%, list=21%, signal=84%	
GOBP_BETA_CATENIN_DESTRUCTION_COMPLEX_DISASSEMBLY	GOBP_BETA_CATENIN_DESTRUCTION_COMPLEX_DISASSEMBLY	Details ...	17	-0.67379254	-2.0914779	0.0	0.007892406	0.073	4412	tags=76%, list=27%, signal=105%	
GOBP_CELLULAR_ALDEHYDE_METABOLIC_PROCESS	GOBP_CELLULAR_ALDEHYDE_METABOLIC_PROCESS		52	-0.49907842	-1.9999388	0.0	0.017629184	0.162	2467	tags=44%, list=15%, signal=52%	
