NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS	GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS	Details ...	20	0.71055496	2.2084627	0.0	0.01608419	0.026	2200	tags=55%, list=14%, signal=64%	
GOBP_SENSORY_PERCEPTION_OF_SMELL	GOBP_SENSORY_PERCEPTION_OF_SMELL	Details ...	25	0.6478315	2.0715604	0.0	0.056295067	0.165	1614	tags=36%, list=10%, signal=40%	
GOBP_DETECTION_OF_CHEMICAL_STIMULUS	GOBP_DETECTION_OF_CHEMICAL_STIMULUS	Details ...	51	0.52765024	2.034323	0.0	0.059114777	0.253	1969	tags=41%, list=12%, signal=47%	
GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED	GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED	Details ...	25	0.59731865	1.9780849	0.0025974025	0.08741276	0.438	2327	tags=52%, list=14%, signal=61%	
GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE	GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE	Details ...	15	0.6885298	1.9419371	0.0	0.10269063	0.577	2191	tags=60%, list=14%, signal=69%	
GOBP_MATURATION_OF_5_8S_RRNA	GOBP_MATURATION_OF_5_8S_RRNA	Details ...	35	0.53942984	1.9119788	0.0	0.11668766	0.687	3574	tags=54%, list=22%, signal=70%	
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	Details ...	15	0.656523	1.8769784	0.002624672	0.14103149	0.809	3574	tags=60%, list=22%, signal=77%	
GOBP_CENTRIOLE_ASSEMBLY	GOBP_CENTRIOLE_ASSEMBLY	Details ...	43	0.49797827	1.8768483	0.0	0.123480245	0.809	4002	tags=53%, list=25%, signal=71%	
GOBP_OVULATION_CYCLE_PROCESS	GOBP_OVULATION_CYCLE_PROCESS	Details ...	31	0.5256546	1.8437698	0.0030487804	0.15208724	0.892	1296	tags=26%, list=8%, signal=28%	
GOBP_MATURATION_OF_LSU_RRNA	GOBP_MATURATION_OF_LSU_RRNA	Details ...	28	0.53376925	1.8430499	0.005540166	0.13785288	0.893	3574	tags=54%, list=22%, signal=69%	
