NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_COMPLEMENT_ACTIVATION	GOBP_COMPLEMENT_ACTIVATION	Details ...	34	-0.6795458	-2.171483	0.0	0.005874352	0.005	1101	tags=32%, list=7%, signal=35%	
GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY	GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY	Details ...	38	-0.64376426	-2.122817	0.0	0.00825283	0.014	4022	tags=63%, list=25%, signal=84%	
GOBP_POSITIVE_REGULATION_OF_PEPTIDE_HORMONE_SECRETION	GOBP_POSITIVE_REGULATION_OF_PEPTIDE_HORMONE_SECRETION	Details ...	62	-0.5821121	-2.1064603	0.0	0.0062931003	0.016	3333	tags=39%, list=21%, signal=49%	
GOBP_COLLAGEN_CATABOLIC_PROCESS	GOBP_COLLAGEN_CATABOLIC_PROCESS	Details ...	37	-0.6385011	-2.0644236	0.0	0.012990385	0.043	1863	tags=51%, list=12%, signal=58%	
GOBP_CELLULAR_OXIDANT_DETOXIFICATION	GOBP_CELLULAR_OXIDANT_DETOXIFICATION	Details ...	71	-0.5520221	-2.0433705	0.0	0.015581922	0.064	5164	tags=58%, list=32%, signal=84%	
GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE	GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE	Details ...	84	-0.53538346	-2.0410671	0.0	0.012984934	0.064	5193	tags=56%, list=32%, signal=82%	
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	Details ...	111	-0.50687534	-2.0223868	0.0	0.017210009	0.094	2891	tags=41%, list=18%, signal=50%	
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	Details ...	29	-0.6444205	-2.0041723	0.0	0.020669214	0.129	1101	tags=34%, list=7%, signal=37%	
GOBP_SENSORY_PERCEPTION_OF_PAIN	GOBP_SENSORY_PERCEPTION_OF_PAIN	Details ...	58	-0.5592702	-1.9876955	0.0	0.025333231	0.173	2601	tags=47%, list=16%, signal=55%	
GOBP_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION	GOBP_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION	Details ...	31	-0.63100964	-1.9824705	0.0	0.024919817	0.188	4022	tags=65%, list=25%, signal=86%	
GOBP_ACUTE_PHASE_RESPONSE	GOBP_ACUTE_PHASE_RESPONSE	Details ...	29	-0.64575225	-1.9717857	0.0	0.025773985	0.209	1499	tags=31%, list=9%, signal=34%	
GOBP_REGULATION_OF_MACROPHAGE_MIGRATION	GOBP_REGULATION_OF_MACROPHAGE_MIGRATION	Details ...	28	-0.64006287	-1.9677488	0.0	0.02530966	0.224	3120	tags=57%, list=19%, signal=71%	
GOBP_DETOXIFICATION	GOBP_DETOXIFICATION	Details ...	94	-0.5076095	-1.9644816	0.0	0.024820011	0.234	5193	tags=55%, list=32%, signal=81%	
GOBP_ACYLGLYCEROL_HOMEOSTASIS	GOBP_ACYLGLYCEROL_HOMEOSTASIS	Details ...	25	-0.6600301	-1.9634805	0.0	0.023469307	0.237	2574	tags=52%, list=16%, signal=62%	
GOBP_COLLAGEN_METABOLIC_PROCESS	GOBP_COLLAGEN_METABOLIC_PROCESS	Details ...	85	-0.5081502	-1.9577261	0.0	0.02371515	0.253	2064	tags=38%, list=13%, signal=43%	
GOBP_PLATELET_DEGRANULATION	GOBP_PLATELET_DEGRANULATION	Details ...	96	-0.50304466	-1.9549797	0.0	0.023118483	0.263	3261	tags=39%, list=20%, signal=48%	
GOBP_MONOSACCHARIDE_METABOLIC_PROCESS	GOBP_MONOSACCHARIDE_METABOLIC_PROCESS	Details ...	221	-0.44709095	-1.95222	0.0	0.022386145	0.27	4278	tags=45%, list=26%, signal=61%	
GOBP_STEROID_BIOSYNTHETIC_PROCESS	GOBP_STEROID_BIOSYNTHETIC_PROCESS	Details ...	144	-0.47361845	-1.9499487	0.0	0.021865482	0.278	3348	tags=39%, list=21%, signal=49%	
GOBP_REGULATION_OF_RENAL_SYSTEM_PROCESS	GOBP_REGULATION_OF_RENAL_SYSTEM_PROCESS	Details ...	21	-0.6811835	-1.9471983	0.0	0.02127603	0.283	2222	tags=57%, list=14%, signal=66%	
GOBP_MACROPHAGE_MIGRATION	GOBP_MACROPHAGE_MIGRATION	Details ...	39	-0.5845929	-1.9353638	0.0	0.024288455	0.331	2619	tags=44%, list=16%, signal=52%	
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION		308	-0.43148977	-1.9316633	0.0	0.024482924	0.347	2850	tags=32%, list=18%, signal=38%	
GOBP_STEROL_BIOSYNTHETIC_PROCESS	GOBP_STEROL_BIOSYNTHETIC_PROCESS		64	-0.52428406	-1.9233909	0.0	0.026373306	0.378	5442	tags=58%, list=34%, signal=87%	
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE		15	-0.73513514	-1.9204785	0.0	0.026307236	0.393	1772	tags=60%, list=11%, signal=67%	
GOBP_REGULATION_OF_PLATELET_AGGREGATION	GOBP_REGULATION_OF_PLATELET_AGGREGATION		15	-0.7283966	-1.9197956	0.0	0.02540774	0.395	1869	tags=40%, list=12%, signal=45%	
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS	GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS		254	-0.4291682	-1.9033557	0.0	0.03153043	0.48	4425	tags=41%, list=27%, signal=56%	
GOBP_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	GOBP_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS		153	-0.456338	-1.8976613	0.0	0.033489723	0.512	3398	tags=39%, list=21%, signal=49%	
GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE	GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE		22	-0.6620912	-1.8959539	0.0015898251	0.03281969	0.517	4082	tags=73%, list=25%, signal=97%	
GOBP_TERTIARY_ALCOHOL_METABOLIC_PROCESS	GOBP_TERTIARY_ALCOHOL_METABOLIC_PROCESS		15	-0.7256154	-1.8931094	0.0	0.033253543	0.537	2885	tags=67%, list=18%, signal=81%	
GOBP_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	GOBP_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION		22	-0.6430941	-1.890222	0.0	0.033815455	0.558	2719	tags=41%, list=17%, signal=49%	
GOBP_REGULATION_OF_COAGULATION	GOBP_REGULATION_OF_COAGULATION		51	-0.5392143	-1.8902075	0.001490313	0.03268827	0.558	2345	tags=41%, list=15%, signal=48%	
GOBP_DECIDUALIZATION	GOBP_DECIDUALIZATION		16	-0.69898015	-1.8783629	0.0016366612	0.037228964	0.624	1734	tags=50%, list=11%, signal=56%	
GOBP_CELLULAR_RESPONSE_TO_NUTRIENT	GOBP_CELLULAR_RESPONSE_TO_NUTRIENT		33	-0.5844095	-1.8762946	0.0	0.03743157	0.638	2250	tags=36%, list=14%, signal=42%	
GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS	GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS		29	-0.60886806	-1.8742728	0.0015822785	0.037373032	0.647	2776	tags=48%, list=17%, signal=58%	
GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT		111	-0.475679	-1.8741482	0.0	0.036482688	0.649	4485	tags=43%, list=28%, signal=59%	
GOBP_MONOSACCHARIDE_CATABOLIC_PROCESS	GOBP_MONOSACCHARIDE_CATABOLIC_PROCESS		49	-0.5420266	-1.8733008	0.00147929	0.035910286	0.652	4206	tags=55%, list=26%, signal=74%	
GOBP_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION	GOBP_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION		27	-0.6198638	-1.8727374	0.0	0.03511015	0.653	3260	tags=59%, list=20%, signal=74%	
GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS	GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS		40	-0.56183815	-1.8702395	0.0	0.035596408	0.67	3299	tags=45%, list=20%, signal=56%	
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS		167	-0.4435026	-1.8701593	0.0	0.034689967	0.67	4356	tags=42%, list=27%, signal=57%	
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS		43	-0.5540644	-1.866762	0.0	0.035074405	0.684	4490	tags=51%, list=28%, signal=71%	
GOBP_POSITIVE_REGULATION_OF_INSULIN_SECRETION	GOBP_POSITIVE_REGULATION_OF_INSULIN_SECRETION		50	-0.5503859	-1.8647548	0.0014430014	0.035319194	0.696	3333	tags=38%, list=21%, signal=48%	
GOBP_STEROID_METABOLIC_PROCESS	GOBP_STEROID_METABOLIC_PROCESS		241	-0.42122248	-1.8642904	0.0	0.034686908	0.698	3348	tags=35%, list=21%, signal=44%	
GOBP_VITAMIN_TRANSPORT	GOBP_VITAMIN_TRANSPORT		31	-0.59779793	-1.8635616	0.0016233766	0.034085654	0.702	972	tags=29%, list=6%, signal=31%	
GOBP_POSITIVE_REGULATION_OF_SECRETION	GOBP_POSITIVE_REGULATION_OF_SECRETION		212	-0.42987117	-1.8603193	0.0	0.0349954	0.717	3349	tags=32%, list=21%, signal=40%	
GOBP_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS	GOBP_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS		71	-0.49583736	-1.8579525	0.0	0.035058398	0.72	3348	tags=45%, list=21%, signal=57%	
GOBP_INTERLEUKIN_7_MEDIATED_SIGNALING_PATHWAY	GOBP_INTERLEUKIN_7_MEDIATED_SIGNALING_PATHWAY		27	-0.5984683	-1.846986	0.0	0.04007841	0.781	1908	tags=48%, list=12%, signal=54%	
GOBP_RESPONSE_TO_MUSCLE_ACTIVITY	GOBP_RESPONSE_TO_MUSCLE_ACTIVITY		18	-0.6665239	-1.8388736	0.0032520324	0.04326062	0.82	816	tags=33%, list=5%, signal=35%	
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS		75	-0.48698837	-1.83804	0.0	0.04274114	0.821	3494	tags=37%, list=22%, signal=47%	
GOBP_LIPID_HOMEOSTASIS	GOBP_LIPID_HOMEOSTASIS		118	-0.4575534	-1.8284684	0.0	0.04781197	0.864	2944	tags=36%, list=18%, signal=44%	
GOBP_RESPONSE_TO_TOXIC_SUBSTANCE	GOBP_RESPONSE_TO_TOXIC_SUBSTANCE		174	-0.42834863	-1.8262457	0.0	0.048550908	0.877	5200	tags=52%, list=32%, signal=76%	
GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION	GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION		28	-0.5857273	-1.8225013	0.0015384615	0.049541187	0.885	1101	tags=25%, list=7%, signal=27%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL	GOBP_NEGATIVE_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL		15	-0.6743089	-1.8221241	0.0050167223	0.048685398	0.887	881	tags=40%, list=5%, signal=42%	
GOBP_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT	GOBP_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT		87	-0.47506586	-1.8155314	0.0	0.051590998	0.914	2956	tags=34%, list=18%, signal=42%	
GOBP_CHROMATIN_SILENCING	GOBP_CHROMATIN_SILENCING		64	-0.49945524	-1.8124297	0.0	0.052696116	0.921	3331	tags=45%, list=21%, signal=57%	
GOBP_RENAL_SYSTEM_PROCESS	GOBP_RENAL_SYSTEM_PROCESS		79	-0.47416615	-1.8092787	0.001472754	0.05427659	0.927	4038	tags=49%, list=25%, signal=65%	
GOBP_KILLING_OF_CELLS_OF_OTHER_ORGANISM	GOBP_KILLING_OF_CELLS_OF_OTHER_ORGANISM		21	-0.63080245	-1.8078144	0.0016750419	0.054471936	0.932	5039	tags=71%, list=31%, signal=104%	
GOBP_POSITIVE_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	GOBP_POSITIVE_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS		24	-0.60926074	-1.8056948	0.0016366612	0.054854818	0.939	3333	tags=46%, list=21%, signal=58%	
GOBP_MATERNAL_PLACENTA_DEVELOPMENT	GOBP_MATERNAL_PLACENTA_DEVELOPMENT		23	-0.61848205	-1.8052653	0.001529052	0.054160368	0.941	1734	tags=39%, list=11%, signal=44%	
GOBP_ALCOHOL_METABOLIC_PROCESS	GOBP_ALCOHOL_METABOLIC_PROCESS		288	-0.40606123	-1.8033739	0.0	0.054609817	0.947	4221	tags=41%, list=26%, signal=54%	
GOBP_ENDOPLASMIC_RETICULUM_CALCIUM_ION_HOMEOSTASIS	GOBP_ENDOPLASMIC_RETICULUM_CALCIUM_ION_HOMEOSTASIS		25	-0.608749	-1.8029711	0.004601227	0.054045122	0.948	4249	tags=60%, list=26%, signal=81%	
GOBP_MACROPHAGE_CHEMOTAXIS	GOBP_MACROPHAGE_CHEMOTAXIS		30	-0.5767879	-1.8010741	0.0015772871	0.054542676	0.953	3120	tags=43%, list=19%, signal=54%	
GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_EMBRYONIC_PLACENTA_DEVELOPMENT	GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_EMBRYONIC_PLACENTA_DEVELOPMENT		17	-0.6586293	-1.8001183	0.001610306	0.054381024	0.953	2974	tags=47%, list=18%, signal=58%	
GOBP_REGULATION_OF_SECRETION	GOBP_REGULATION_OF_SECRETION		426	-0.39161065	-1.7973242	0.0	0.055616852	0.957	3349	tags=31%, list=21%, signal=37%	
GOBP_GLUCOSE_METABOLIC_PROCESS	GOBP_GLUCOSE_METABOLIC_PROCESS		166	-0.42604837	-1.797212	0.0	0.05477141	0.958	4260	tags=43%, list=26%, signal=58%	
GOBP_POSITIVE_REGULATION_OF_HORMONE_SECRETION	GOBP_POSITIVE_REGULATION_OF_HORMONE_SECRETION		80	-0.4777698	-1.7968225	0.0	0.054246955	0.96	1935	tags=28%, list=12%, signal=31%	
GOBP_GLUCOSE_CATABOLIC_PROCESS	GOBP_GLUCOSE_CATABOLIC_PROCESS		28	-0.5904965	-1.7948515	0.0032733225	0.054540783	0.96	4082	tags=64%, list=25%, signal=86%	
GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS	GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS		39	-0.53745323	-1.7943316	0.0031397175	0.054089535	0.962	1261	tags=26%, list=8%, signal=28%	
GOBP_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS	GOBP_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS		47	-0.5222893	-1.7920868	0.0030075188	0.05467464	0.962	2144	tags=30%, list=13%, signal=34%	
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS		258	-0.40432405	-1.791331	0.0	0.054426484	0.964	3531	tags=37%, list=22%, signal=47%	
GOBP_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	GOBP_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS		78	-0.47457352	-1.7905254	0.0	0.054307666	0.967	5427	tags=54%, list=34%, signal=81%	
GOBP_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS	GOBP_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS		57	-0.50199133	-1.787071	0.0014771048	0.055655487	0.975	3299	tags=42%, list=20%, signal=53%	
GOBP_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION	GOBP_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION		136	-0.4358965	-1.7866253	0.0	0.055269875	0.975	4022	tags=42%, list=25%, signal=55%	
GOBP_EMBRYO_IMPLANTATION	GOBP_EMBRYO_IMPLANTATION		38	-0.5473057	-1.7846884	0.0015267176	0.05566549	0.977	5217	tags=61%, list=32%, signal=89%	
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS		25	-0.59375244	-1.7834431	0.004830918	0.055697087	0.978	3120	tags=40%, list=19%, signal=49%	
GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING	GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING		122	-0.43920767	-1.7824967	0.0	0.05569466	0.979	2345	tags=30%, list=15%, signal=34%	
GOBP_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS	GOBP_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS		72	-0.4814175	-1.7811826	0.0	0.055961873	0.979	4278	tags=46%, list=26%, signal=62%	
GOBP_ONE_CARBON_METABOLIC_PROCESS	GOBP_ONE_CARBON_METABOLIC_PROCESS		29	-0.5706274	-1.7795924	0.0031746032	0.056250993	0.979	1634	tags=34%, list=10%, signal=38%	
