NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_GLUCOSE_METABOLIC_PROCESS	GOBP_GLUCOSE_METABOLIC_PROCESS	Details ...	166	-0.1821674	---	---	1.0	0.0	2334	tags=23%, list=14%, signal=27%	
GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	Details ...	230	-0.18848518	---	---	1.0	0.0	2540	tags=23%, list=16%, signal=27%	
GOBP_CELLULAR_RESPIRATION	GOBP_CELLULAR_RESPIRATION	Details ...	158	-0.13935865	---	---	1.0	0.0	2789	tags=18%, list=17%, signal=21%	
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	Details ...	374	-0.19241224	---	---	1.0	0.0	1498	tags=13%, list=9%, signal=14%	
GOBP_INNER_EAR_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION	GOBP_INNER_EAR_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION	Details ...	24	-0.5990273	-2.1012359	0.0	0.027339783	0.102	1085	tags=46%, list=7%, signal=49%	
GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS	GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS	Details ...	40	-0.5093964	-2.0782282	0.0	0.02854204	0.127	2228	tags=40%, list=14%, signal=46%	
GOBP_CELLULAR_RESPONSE_TO_STEROL_DEPLETION	GOBP_CELLULAR_RESPONSE_TO_STEROL_DEPLETION	Details ...	16	-0.5971707	-1.9026644	0.0	0.11123302	0.46	2931	tags=56%, list=18%, signal=69%	
GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS	GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS	Details ...	24	-0.5181306	-1.87095	0.0	0.12624769	0.551	2228	tags=46%, list=14%, signal=53%	
GOBP_RETINOL_METABOLIC_PROCESS	GOBP_RETINOL_METABOLIC_PROCESS	Details ...	29	-0.51045823	-1.8677775	0.0	0.113885365	0.557	2074	tags=48%, list=13%, signal=55%	
GOBP_CELLULAR_ALDEHYDE_METABOLIC_PROCESS	GOBP_CELLULAR_ALDEHYDE_METABOLIC_PROCESS	Details ...	52	-0.43328747	-1.8517733	0.0	0.11560045	0.6	1751	tags=31%, list=11%, signal=34%	
GOBP_HAIR_CELL_DIFFERENTIATION	GOBP_HAIR_CELL_DIFFERENTIATION	Details ...	30	-0.48780155	-1.827147	0.0	0.12979579	0.683	1085	tags=37%, list=7%, signal=39%	
GOBP_RESPIRATORY_SYSTEM_PROCESS	GOBP_RESPIRATORY_SYSTEM_PROCESS	Details ...	26	-0.47699454	-1.8006378	0.009433962	0.1408695	0.739	2213	tags=38%, list=14%, signal=44%	
GOBP_BETA_CATENIN_DESTRUCTION_COMPLEX_DISASSEMBLY	GOBP_BETA_CATENIN_DESTRUCTION_COMPLEX_DISASSEMBLY	Details ...	17	-0.5840073	-1.7962172	0.0	0.1338634	0.749	2686	tags=65%, list=17%, signal=78%	
GOBP_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT	Details ...	29	-0.44459674	-1.7765275	0.010416667	0.14235234	0.789	790	tags=31%, list=5%, signal=33%	
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	Details ...	30	-0.46353433	-1.769914	0.01	0.13863301	0.804	2342	tags=30%, list=14%, signal=35%	
GOBP_RESPONSE_TO_STEROL_DEPLETION	GOBP_RESPONSE_TO_STEROL_DEPLETION	Details ...	18	-0.53732955	-1.7624654	0.007874016	0.13627774	0.822	2931	tags=50%, list=18%, signal=61%	
GOBP_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS	GOBP_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS	Details ...	50	-0.41704553	-1.67007	0.0	0.24421684	0.964	2228	tags=36%, list=14%, signal=42%	
GOBP_URONIC_ACID_METABOLIC_PROCESS	GOBP_URONIC_ACID_METABOLIC_PROCESS	Details ...	17	-0.50500506	-1.6405244	0.01898734	0.2774676	0.98	2666	tags=59%, list=16%, signal=70%	
GOBP_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS	GOBP_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS	Details ...	71	-0.36714807	-1.6355212	0.0	0.27005896	0.984	1718	tags=31%, list=11%, signal=35%	
GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	Details ...	15	-0.51172537	-1.6161572	0.03125	0.29172382	0.992	3313	tags=47%, list=20%, signal=59%	
GOBP_PHOTOPERIODISM	GOBP_PHOTOPERIODISM		28	-0.44280735	-1.6052008	0.008130081	0.29883638	0.994	2821	tags=39%, list=17%, signal=48%	
GOBP_SECONDARY_METABOLIC_PROCESS	GOBP_SECONDARY_METABOLIC_PROCESS		38	-0.39070222	-1.6022772	0.0	0.28950533	0.994	1751	tags=34%, list=11%, signal=38%	
GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY	GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY		38	-0.40978593	-1.5888252	0.0	0.29812244	0.994	1556	tags=37%, list=10%, signal=41%	
GOBP_CELLULAR_MODIFIED_AMINO_ACID_CATABOLIC_PROCESS	GOBP_CELLULAR_MODIFIED_AMINO_ACID_CATABOLIC_PROCESS		24	-0.45861423	-1.5628285	0.060606062	0.3352049	0.997	272	tags=21%, list=2%, signal=21%	
GOBP_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	GOBP_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS		29	-0.4299774	-1.5628266	0.029411765	0.32179672	0.997	849	tags=24%, list=5%, signal=25%	
GOBP_THIOESTER_METABOLIC_PROCESS	GOBP_THIOESTER_METABOLIC_PROCESS		92	-0.3160449	-1.5465013	0.0	0.34188673	0.998	1458	tags=20%, list=9%, signal=21%	
GOBP_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT	GOBP_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT		20	-0.4483933	-1.5271858	0.03448276	0.3679053	0.999	8930	tags=100%, list=55%, signal=223%	
