NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RESPONSE_TO_TYPE_I_INTERFERON	GOBP_RESPONSE_TO_TYPE_I_INTERFERON	Details ...	80	0.7579196	2.1330779	0.0	0.0	0.0	2128	tags=51%, list=13%, signal=59%	
GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	Details ...	75	0.7394221	2.092271	0.0	0.0	0.0	2639	tags=59%, list=16%, signal=70%	
GOBP_RESPONSE_TO_INTERFERON_GAMMA	GOBP_RESPONSE_TO_INTERFERON_GAMMA	Details ...	151	0.70224863	2.0374367	0.0	0.0	0.0	2639	tags=52%, list=16%, signal=62%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	Details ...	47	0.7537013	2.0306268	0.0	0.0	0.0	1813	tags=51%, list=11%, signal=57%	
GOBP_CORNIFICATION	GOBP_CORNIFICATION	Details ...	49	0.7474768	2.0287368	0.0	0.0	0.0	2248	tags=57%, list=14%, signal=66%	
GOBP_RESPONSE_TO_CHEMOKINE	GOBP_RESPONSE_TO_CHEMOKINE	Details ...	53	0.74674326	2.02624	0.0	0.0	0.0	2705	tags=60%, list=17%, signal=72%	
GOBP_KERATINIZATION	GOBP_KERATINIZATION	Details ...	55	0.7437159	2.0247662	0.0	0.0	0.0	2320	tags=56%, list=14%, signal=66%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	Details ...	75	0.71911037	2.0128286	0.0	0.0	0.0	2744	tags=53%, list=17%, signal=64%	
GOBP_T_CELL_MIGRATION	GOBP_T_CELL_MIGRATION	Details ...	48	0.7284544	1.944985	0.0	3.0008695E-4	0.003	1769	tags=44%, list=11%, signal=49%	
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION	Details ...	46	0.73052746	1.9360988	0.0	4.4998067E-4	0.005	2002	tags=50%, list=12%, signal=57%	
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	68	0.691259	1.9265924	0.0	6.540243E-4	0.008	2695	tags=51%, list=17%, signal=62%	
GOBP_LYMPHOCYTE_CHEMOTAXIS	GOBP_LYMPHOCYTE_CHEMOTAXIS	Details ...	34	0.7462924	1.9209638	0.0	6.751067E-4	0.009	2705	tags=59%, list=17%, signal=70%	
GOBP_INTERFERON_GAMMA_PRODUCTION	GOBP_INTERFERON_GAMMA_PRODUCTION	Details ...	74	0.6853393	1.9119337	0.0	9.0018887E-4	0.013	2863	tags=54%, list=18%, signal=65%	
GOBP_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	GOBP_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	Details ...	40	0.71947753	1.9049715	0.0	0.0010286672	0.016	1748	tags=48%, list=11%, signal=53%	
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	Details ...	70	0.68634087	1.9038289	0.0	9.600895E-4	0.016	2695	tags=50%, list=17%, signal=60%	
GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	Details ...	126	0.65737575	1.9008847	0.0	0.0010133568	0.018	3004	tags=47%, list=19%, signal=57%	
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	Details ...	44	0.70519257	1.8982068	0.0	0.0010066114	0.019	2578	tags=52%, list=16%, signal=62%	
GOBP_INTERLEUKIN_10_PRODUCTION	GOBP_INTERLEUKIN_10_PRODUCTION	Details ...	37	0.72375506	1.896762	0.0	9.506885E-4	0.019	2695	tags=59%, list=17%, signal=71%	
GOBP_MONOCYTE_CHEMOTAXIS	GOBP_MONOCYTE_CHEMOTAXIS	Details ...	36	0.7342732	1.8909458	0.0	9.953956E-4	0.021	1762	tags=50%, list=11%, signal=56%	
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	Details ...	46	0.7038045	1.886061	0.0	9.906427E-4	0.022	3004	tags=61%, list=19%, signal=75%	
GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE		80	0.67249316	1.8853661	0.0	9.86754E-4	0.023	3004	tags=48%, list=19%, signal=58%	
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE		44	0.71422255	1.8849738	0.0	9.830149E-4	0.024	2863	tags=59%, list=18%, signal=72%	
GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE	GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE		126	0.6465013	1.8821336	0.0	0.0010974489	0.028	1813	tags=35%, list=11%, signal=39%	
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY		36	0.7243358	1.8772261	0.0	0.0012771251	0.034	2624	tags=58%, list=16%, signal=69%	
GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION	GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION		129	0.6431177	1.8764242	0.0	0.0012617905	0.035	2538	tags=41%, list=16%, signal=48%	
GOBP_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	GOBP_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE		99	0.65326345	1.8751932	0.0	0.0012132601	0.035	2863	tags=44%, list=18%, signal=54%	
GOBP_NEUTROPHIL_CHEMOTAXIS	GOBP_NEUTROPHIL_CHEMOTAXIS		63	0.6834203	1.8738133	0.0	0.0011683245	0.035	1495	tags=43%, list=9%, signal=47%	
GOBP_NEGATIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION	GOBP_NEGATIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION		25	0.7453302	1.8737462	0.0	0.0011265987	0.035	1732	tags=56%, list=11%, signal=63%	
GOBP_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION		44	0.7048975	1.8710198	0.0	0.001181525	0.038	2997	tags=57%, list=19%, signal=70%	
