NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RESPONSE_TO_CHEMOKINE	GOBP_RESPONSE_TO_CHEMOKINE	Details ...	53	0.73235416	1.7577331	0.0	0.07371203	0.073	2294	tags=51%, list=14%, signal=59%	
GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION	GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION	Details ...	22	0.798616	1.7434846	0.0	0.06271181	0.12	1134	tags=41%, list=7%, signal=44%	
GOBP_T_CELL_MIGRATION	GOBP_T_CELL_MIGRATION	Details ...	48	0.7259651	1.7368628	0.0	0.05042602	0.143	2138	tags=44%, list=13%, signal=50%	
GOBP_REGULATION_OF_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL	GOBP_REGULATION_OF_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL	Details ...	23	0.7737863	1.7308913	0.0	0.04571809	0.173	1134	tags=39%, list=7%, signal=42%	
GOBP_INTERLEUKIN_10_PRODUCTION	GOBP_INTERLEUKIN_10_PRODUCTION	Details ...	37	0.7432401	1.7139479	0.0	0.057251804	0.262	2663	tags=54%, list=16%, signal=65%	
GOBP_MONOCYTE_CHEMOTAXIS	GOBP_MONOCYTE_CHEMOTAXIS	Details ...	36	0.7261399	1.6936241	0.0	0.081057385	0.4	2753	tags=53%, list=17%, signal=63%	
GOBP_RENAL_SYSTEM_VASCULATURE_DEVELOPMENT	GOBP_RENAL_SYSTEM_VASCULATURE_DEVELOPMENT	Details ...	20	0.7796677	1.6926246	0.0	0.07125791	0.408	1951	tags=55%, list=12%, signal=62%	
GOBP_TRANSMISSION_OF_NERVE_IMPULSE	GOBP_TRANSMISSION_OF_NERVE_IMPULSE	Details ...	36	0.72134405	1.6886919	0.0	0.06893985	0.444	2152	tags=47%, list=13%, signal=54%	
GOBP_RESPONSE_TO_MINERALOCORTICOID	GOBP_RESPONSE_TO_MINERALOCORTICOID	Details ...	23	0.76093453	1.688582	0.0	0.06149255	0.445	2956	tags=61%, list=18%, signal=74%	
GOBP_CORNIFICATION	GOBP_CORNIFICATION	Details ...	49	0.70130175	1.6877922	0.0	0.056781	0.456	1986	tags=49%, list=12%, signal=56%	
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	68	0.68667126	1.6852012	0.0	0.054927237	0.474	3334	tags=54%, list=21%, signal=68%	
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	Details ...	70	0.68017936	1.6716769	0.0	0.07014136	0.59	3107	tags=51%, list=19%, signal=63%	
GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS	GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS	Details ...	41	0.71097136	1.6712762	0.0	0.06555557	0.594	2529	tags=44%, list=16%, signal=52%	
GOBP_RESPONSE_TO_TYPE_I_INTERFERON	GOBP_RESPONSE_TO_TYPE_I_INTERFERON	Details ...	80	0.6762471	1.6692834	0.0	0.06360931	0.614	3044	tags=50%, list=19%, signal=61%	
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	Details ...	44	0.6972025	1.6692784	0.0	0.059368692	0.614	3107	tags=55%, list=19%, signal=67%	
GOBP_LYMPHOCYTE_MIGRATION	GOBP_LYMPHOCYTE_MIGRATION	Details ...	76	0.6781687	1.665965	0.0	0.060326412	0.645	2225	tags=41%, list=14%, signal=47%	
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	Details ...	46	0.7048991	1.6627064	0.0	0.061285354	0.676	3044	tags=59%, list=19%, signal=72%	
GOBP_KERATINIZATION	GOBP_KERATINIZATION	Details ...	55	0.68854463	1.6614934	0.0	0.05958381	0.688	2310	tags=49%, list=14%, signal=57%	
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	Details ...	19	0.77493274	1.6597866	0.0011600928	0.05906979	0.706	1626	tags=47%, list=10%, signal=53%	
GOBP_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	GOBP_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	Details ...	99	0.6701426	1.658394	0.0	0.058368877	0.718	3334	tags=46%, list=21%, signal=58%	
GOBP_LYMPHOCYTE_CHEMOTAXIS	GOBP_LYMPHOCYTE_CHEMOTAXIS		34	0.7182281	1.6581967	0.0021436226	0.0558181	0.72	2225	tags=47%, list=14%, signal=54%	
GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE		33	0.7152169	1.655763	0.0010752688	0.056413133	0.746	2035	tags=45%, list=13%, signal=52%	
GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY		107	0.6579535	1.6555547	0.0	0.05416809	0.746	3303	tags=47%, list=20%, signal=58%	
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY		148	0.65342516	1.6501812	0.0	0.05877755	0.788	3334	tags=47%, list=21%, signal=58%	
GOBP_SODIUM_ION_HOMEOSTASIS	GOBP_SODIUM_ION_HOMEOSTASIS		30	0.72704554	1.6458336	0.0	0.062591836	0.824	697	tags=33%, list=4%, signal=35%	
